record_id,group_id,value
V01,VARIABLE,10
V02,VARIABLE,11
V03,VARIABLE,12
V04,VARIABLE,13
V05,VARIABLE,14
V06,VARIABLE,15
V07,VARIABLE,16
V08,VARIABLE,17
V09,VARIABLE,18
V10,VARIABLE,19
V11,VARIABLE,20
V12,VARIABLE,21
V13,VARIABLE,22
V14,VARIABLE,23
V15,VARIABLE,24
V16,VARIABLE,25
V17,VARIABLE,26
V18,VARIABLE,27
V19,VARIABLE,28
V20,VARIABLE,29
V21,VARIABLE,300
C01,CONSTANT,5
C02,CONSTANT,5
C03,CONSTANT,5
C04,CONSTANT,5
C05,CONSTANT,5
C06,CONSTANT,5
C07,CONSTANT,5
C08,CONSTANT,5
C09,CONSTANT,5
C10,CONSTANT,5
C11,CONSTANT,5
C12,CONSTANT,5
C13,CONSTANT,5
C14,CONSTANT,5
C15,CONSTANT,5
C16,CONSTANT,5
C17,CONSTANT,5
C18,CONSTANT,5
C19,CONSTANT,5
C20,CONSTANT,5
