record_id,group_id,value,censored
A01,SMALL,1,false
A02,SMALL,2,false
A03,SMALL,3,false
A04,SMALL,4,false
A05,SMALL,5,false
A06,SMALL,6,false
A07,SMALL,7,false
A08,SMALL,8,false
A09,SMALL,9,false
A10,SMALL,10,false
A11,SMALL,11,false
A12,SMALL,12,false
A13,SMALL,13,false
A14,SMALL,14,false
A15,SMALL,15,false
A16,SMALL,16,false
A17,SMALL,17,false
A18,SMALL,18,false
A19,SMALL,19,false
B01,CENSORED,1,false
B02,CENSORED,2,false
B03,CENSORED,3,false
B04,CENSORED,4,false
B05,CENSORED,5,false
B06,CENSORED,6,false
B07,CENSORED,7,false
B08,CENSORED,8,false
B09,CENSORED,9,false
B10,CENSORED,10,false
B11,CENSORED,11,false
B12,CENSORED,12,false
B13,CENSORED,13,false
B14,CENSORED,,true
B15,CENSORED,,true
B16,CENSORED,,true
B17,CENSORED,,true
B18,CENSORED,,true
B19,CENSORED,,true
B20,CENSORED,,true
