site,v_t,lat_t,lon_t,v_s,lat_s,lon_s,log2_ratio
35.04_25.28,0.02664,35.043132637,25.28311772,0.03445,35.043132637,25.28311772,-0.3709099005203916
35.19_26.1,0.02306,35.186187279,26.099125756,0.02821,35.186187279,26.099125756,-0.2908141529337996
35.27_25.2,0.0133,35.269707429,25.195870096,0.00824,35.269707429,25.195870096,0.6907100032053335
35.4_24.67,0.04388,35.40422557,24.67156107,0.05454,35.40422557,24.67156107,-0.31375117451207035
35.5_23.83,0.03718,35.49645002,23.826111943,0.0147,35.49645002,23.826111943,1.3387106151957546
36.52_-5.81,0.01588,36.52403622,-5.81055467,0.0335,36.52403622,-5.81055467,-1.0769501830895396
37.06_-5.45,0.03156,37.05571976,-5.44898543,0.021,37.05571976,-5.44898543,0.5877078774599733
37.11_22.44,0.01456,37.105884152,22.439370426,0.01067,37.105884152,22.439370426,0.44845017937427134
37.22_21.95,0.03088,37.222702454,21.954481951,0.04287,37.222702454,21.954481951,-0.47329566454889205
37.29_-2.52,0.1308,37.28825683,-2.52228757,0.1861,37.28825683,-2.52228757,-0.5087155145610688
37.29_-6.57,0.01368,37.28592841,-6.56961085,0.01016,37.28592841,-6.56961085,0.42916782811373183
37.31_14.7,0.00938,37.31,14.7,0.02434,37.31,14.7,-1.375669340198352
37.42_-3.51,0.03396,37.42023846,-3.51100563,0.01068,37.42023846,-3.51100563,1.6689248118654842
37.48_13.75,0.01717,37.48,13.75,0.0139,37.48,13.75,0.3048051563912646
37.4_21.79,0.05255,37.404442745,21.787212305,0.02356,37.404442745,21.787212305,1.1573512250190798
37.64_-8.62,0.07991,37.637946411139,-8.6201987961374,0.01739,37.637946411139,-8.6201987961374,2.2001181217937495
37.64_22.7,0.03578,37.6402995,22.702987872,0.02872,37.6402995,22.702987872,0.3170976382288569
37.68_23.99,0.04223,37.680778554,23.994656255,0.03116,37.680778554,23.994656255,0.43857301373963276
37.69_-3.55,0.1181,37.6858238,-3.5489207,0.1399,37.6858238,-3.5489207,-0.24438699776759604
37.78_13.54,0.02081,37.78,13.54,0.0225,37.78,13.54,-0.11264803636906474
37.7_21.56,0.02096,37.702206574,21.564028669,0.01597,37.702206574,21.564028669,0.39227440412621756
37.82_22.63,0.01576,37.823257899,22.631394131,0.01714,37.823257899,22.631394131,-0.12109957465612343
37.86_21.16,0.03503,37.859108608,21.162684186,0.03354,37.859108608,21.162684186,0.0627082992377166
37.93_15.13,0.05719,37.93,15.13,0.03543,37.93,15.13,0.690791440084974
37.95_-8.32,0.03572,37.949186176789,-8.3156438951523,0.01511,37.949186176789,-8.3156438951523,1.2412284199563939
38.12_23.54,0.1055,38.124295887,23.536550152,0.2155,38.124295887,23.536550152,-1.0304448703819131
38.17_20.62,0.04191,38.173588941,20.622799535,0.08308,38.173588941,20.622799535,-0.9872066947140282
38.1_22.04,0.03642,38.099227631,22.035249026,0.02869,38.099227631,22.035249026,0.34418295420817396
38.28_23.71,0.06856,38.284552109,23.709330984,0.07271,38.284552109,23.709330984,-0.08478668603248912
38.32_15.91,0.066,38.32,15.91,0.04952,38.32,15.91,0.41445470991891353
38.34_-7.56,0.05221,38.342501997455,-7.5559947640201,0.05364,38.342501997455,-7.5559947640201,-0.03898307855654607
38.49_-8.29,0.01878,38.490199091989,-8.2877826742004,0.01707,38.490199091989,-8.2877826742004,0.13773400462603677
38.53_-2.42,0.02925,38.52920449,-2.42319846,0.00661,38.52920449,-2.42319846,2.1457144478504375
38.54_24.1,0.02414,38.53766163,24.100671376,0.01389,38.53766163,24.100671376,0.7973790767736291
38.56_21.74,0.07049,38.555091416,21.744915498,0.1075,38.555091416,21.744915498,-0.6088461492997961
38.66_22.45,0.03006,38.655347494,22.452517933,0.01804,38.655347494,22.452517933,0.7366456706609836
38.68_-0.64,0.0192,38.6768494,-0.63963089,0.00867,38.6768494,-0.63963089,1.1470024123866833
38.69_-2.86,0.0175,38.69341017,-2.86013266,0.0088,38.69341017,-2.86013266,0.9917794931950317
38.72_-5.73,0.01843,38.71946662,-5.72624521,0.01368,38.71946662,-5.72624521,0.42998784074481516
38.72_21.27,0.01675,38.72096456,21.271391616,0.02581,38.72096456,21.271391616,-0.6237690458614726
38.79_-4.56,1.038,38.78839652,-4.56003121,0.9297,38.78839652,-4.56003121,0.15896928293787127
38.87_-7.98,0.01733,38.87169023098,-7.978080458668,0.0097,38.87169023098,-7.978080458668,0.8372150020856797
38.8_23.47,0.03672,38.796795019,23.466819596,0.06297,38.796795019,23.466819596,-0.7780986085995023
38.93_22.42,0.04181,38.929453104,22.418431087,0.02011,38.929453104,22.418431087,1.0559349617387856
38.94_16.49,0.2559,38.94,16.49,0.04069,38.94,16.49,2.6528339618530987
38.9_-0.43,0.1393,38.89977296,-0.42671883,0.01498,38.89977296,-0.42671883,3.217085729029864
39.03_-7.74,0.02718,39.028311093877,-7.7387004726123,0.01148,39.028311093877,-7.7387004726123,1.2434228140917034
39.11_-8.56,0.01291,39.106544961449,-8.5619619377741,0.00582,39.106544961449,-8.5619619377741,1.149397942398907
39.13_-6.17,0.04136,39.13469566,-6.16700188,0.06273,39.13469566,-6.16700188,-0.6009193769958006
39.16_21.42,0.02386,39.162434045,21.424461611,0.02415,39.162434045,21.424461611,-0.017429146027907665
39.32_-6.75,0.06065,39.32323245,-6.752268489,0.03984,39.32323245,-6.752268489,0.6062899979397915
39.34_21.78,0.02054,39.344985969,21.776307112,0.01667,39.344985969,21.776307112,0.3011820773317782
39.37_21.05,0.0238,39.365572301,21.053812238,0.03739,39.365572301,21.053812238,-0.651690897662863
39.41_-4.48,0.1589,39.40954107,-4.48398081,0.04049,39.40954107,-4.48398081,1.9724815765594241
39.44_-5.32,0.04328,39.437077,-5.32434,0.02536,39.437077,-5.32434,0.7711457536874079
39.47_16.71,0.04671,39.47,16.71,0.04714,39.47,16.71,-0.01322031344997423
