exclusion_reason,element_or_analyte,medium,n_records
below_minimum_confidence,As,sediment,4951
below_minimum_confidence,As,soil,2847
below_minimum_confidence,As,water,49
below_minimum_confidence,Cr,sediment,5000
below_minimum_confidence,Cr,soil,4320
below_minimum_confidence,Cr,water,2
below_minimum_confidence,Cu,sediment,5000
below_minimum_confidence,Cu,soil,4480
below_minimum_confidence,Cu,water,58
below_minimum_confidence,Hg,sediment,4867
below_minimum_confidence,Hg,soil,729
below_minimum_confidence,Ni,sediment,5000
below_minimum_confidence,Ni,soil,3989
below_minimum_confidence,Ni,water,49
below_minimum_confidence,Pb,sediment,5000
below_minimum_confidence,Pb,soil,4601
below_minimum_confidence,Pb,water,59
below_minimum_confidence,Zn,sediment,5000
below_minimum_confidence,Zn,soil,4385
below_minimum_confidence,Zn,water,59
