cohort_id,element_or_analyte,medium,sample_type,grain_fraction,measurement_basis,method_family,digestion_or_extraction,unit_layer,comparability_tier,n_quantified_records,n_censored_records,n_not_normalized_records,quantified_fraction,n_quantified_samples,n_sources,source_ids,dominant_source_id,dominant_source_share,n_with_coordinates,n_with_geology_match,workflow_band_high,workflow_band_medium,workflow_band_low,bbox_west,bbox_south,bbox_east,bbox_north,sampled_at_min,sampled_at_max
cohort-cfcdc8045f16,As,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,aqua_regia_leachable_<2mm_floodplain_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,374,0,0,1.0,374,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,374,348,0,374,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-3db8767d2dc4,As,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,total_selected_<2mm_floodplain_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,372,0,0,1.0,372,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,372,346,0,372,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-171ef5796b28,As,sediment,sediment_marine,,dry_weight_partial_nitric_acid,icp_oes,Metoden anvendes på analyseløsninger fremstilt ved ekstraksjon med 7 M HNO3 i autoklav i samsvar med Norsk Standard - NS 4770,mg/kg,single_lineage_ready,401,0,0,1.0,401,1,norway-marchem,norway-marchem,1.0,401,0,0,401,0,5.5623,64.0723,36.6777,78.252,2015,2017
cohort-377356c01d61,As,sediment,sediment_marine,,dry_weight_partial_nitric_acid,icp_oes,Prøveframstilling følger prosedyre i LABdok_P03: Framstilling av analyseløsninger etter partiell oppslutning i salpetersyre iht. NS-4770.,mg/kg,single_lineage_ready,459,20,0,0.9582,459,1,norway-marchem,norway-marchem,1.0,459,0,0,479,0,1.588881,56.732085,34.038155,81.548998,2019,2024
cohort-e2ca83549c4d,As,sediment,sediment_marine_core,bulk sediment,bulk_marine_sediment_geochemical_analysis,other_geochemical_analysis_on_bulk_sediment,not reported in publisher table,mg/kg,single_lineage_ready,27,0,0,1.0,26,1,pangaea-arabian-sea-sediment,pangaea-arabian-sea-sediment,1.0,27,0,0,27,0,57.3555,10.0345,68.3668,19.5163,,
cohort-3c4787e5b0ad,As,sediment,sediment_outlet_bottom,<75 µm,ICP-MS reported concentration in <75 µm catchment-outlet sediment; BOS,icp_ms,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,mg/kg,single_lineage_ready,1058,9,0,0.9916,1058,1,australia-ngsa,australia-ngsa,1.0,1058,1036,0,1067,0,113.8452,-43.3302,153.3335,-11.0346,1/03/2008,9/12/2007
cohort-d0494d3d550f,As,sediment,sediment_outlet_top,<75 µm,ICP-MS reported concentration in <75 µm catchment-outlet sediment; TOS,icp_ms,publisher classifies ICP-MS in the total analytical suite; digestion chemistry is not stated in the CSV,mg/kg,single_lineage_ready,1046,18,0,0.9831,1046,1,australia-ngsa,australia-ngsa,1.0,1046,1025,0,1064,0,113.8452,-43.3302,153.3335,-11.0346,1/03/2008,9/12/2007
cohort-ceb20f9bf357,As,sediment,sediment_stream,<180 µm fine stream sediment,river_sediment_<180um_national_geochemical_map,,,mg/kg,single_lineage_ready,3024,0,0,1.0,3024,1,japan-gsj-geochemical-map,japan-gsj-geochemical-map,1.0,3024,2622,0,3024,0,127.6799,26.1292,145.7221,45.4518,,
cohort-57f2eef90744,As,sediment,sediment_stream,wet sieved <150 micrometres,aqua_regia_leachable_<150um_stream_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.85749,,
cohort-bc7e882d2aba,As,sediment,sediment_stream,wet sieved <150 micrometres,total_selected_<150um_stream_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.86,,
cohort-65a914277358,As,soil,soil_a_horizon,<2 mm,total concentration in <2 mm soil fraction,aas,sodium peroxide and sodium hydroxide fusion,mg/kg,single_lineage_ready,659,2,0,0.997,659,1,usgs-conus-soil,usgs-conus-soil,1.0,659,656,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/17/09,10/01/08
cohort-a53249cbb98f,As,soil,soil_agricultural_ploughed,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-57a705448c1a,As,soil,soil_agricultural_ploughed,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-d1900a447251,As,soil,soil_c_horizon,<2 mm,total concentration in <2 mm soil fraction,aas,sodium peroxide and sodium hydroxide fusion,mg/kg,single_lineage_ready,658,3,0,0.9955,658,1,usgs-conus-soil,usgs-conus-soil,1.0,658,655,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/17/09,10/02/08
cohort-d6f4718a0df5,As,soil,soil_c_horizon,fraction < 2 mm,aqua_regia_extractable_c_horizon_soil_analysis,aas,aqua regia digestion; fraction < 2 mm,mg/kg,single_lineage_ready,594,10,0,0.9834,594,1,pangaea-barents-c-horizon-soil,pangaea-barents-c-horizon-soil,1.0,594,579,0,604,0,24.0498,66.393,35.4177,71.0493,,
cohort-447e823384d1,As,soil,soil_grazing_land,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-519a3bf4f245,As,soil,soil_grazing_land,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-75e140a5af6f,As,soil,soil_organic_litter,,icpo_method_specific_total_or_extractable_soil,icp_oes,dry ashing of milled organic sample,mg/kg,insufficient_background,0,28,0,0.0,0,0,,,0.0,0,0,28,0,0,,,,,,
cohort-0e623caa30c4,As,soil,soil_subsoil,,ppp_method_specific_total_or_extractable_soil,xrf,pressed powder pellet; no wet digestion,mg/kg,exploratory_only,10,84,0,0.1064,10,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,10,10,94,0,0,-48.357806,-12.481722,-36.241389,-3.575194,,
cohort-ada508036ae1,As,soil,soil_subsoil,<2 mm,aqua_regia_leachable_<2mm_subsoil,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,410,0,419,0,-8.62,35.04,26.32,51.0,,
cohort-ead7c03b2463,As,soil,soil_subsoil,<2 mm,total_selected_<2mm_subsoil,icp_ms,cold HNO3-HF dissolution for selected elements,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,408,0,419,0,-8.62,35.04,26.32,52.49,,
cohort-2634015f26a6,As,soil,soil_subsoil,mineral soil,gemas_protocol_multi_acid_digest_dry_mineral_soil,icp_ms,GEMAS protocol multi-acid digestion,mg/kg,single_lineage_ready,83,0,0,1.0,83,1,pangaea-amazonas-soil,pangaea-amazonas-soil,1.0,83,83,0,83,0,-67.1983,-9.75042,-50.97,-2.53317,2016-03-01,2017-02-27
cohort-ac3221c59dd7,As,soil,soil_surface,<20 µm fine silt-clay fraction,deflatable_soil_fraction_total_acid_digest,icp_ms,HF-HNO3 acid digestion,mg/kg,single_lineage_ready,43,0,0,1.0,43,1,pangaea-north-africa-soil,pangaea-north-africa-soil,1.0,43,43,0,43,0,-13.26,15.67,32.5,33.83,,
cohort-d77988073a8c,As,soil,soil_topsoil,,icpms_method_specific_total_or_extractable_soil,icp_ms,full digestion with HF and HNO3 in Walner equipment,mg/kg,insufficient_background,7,0,0,1.0,7,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,7,7,7,0,0,-48.316917,-12.418917,-35.124,-5.838889,,
cohort-d21091133043,As,soil,soil_topsoil,,icpo_method_specific_total_or_extractable_soil,icp_oes,digestion with 7N HNO3,mg/kg,insufficient_background,3,26,0,0.1034,3,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,3,3,29,0,0,-37.400472,-7.097861,-36.268417,-7.060833,,
cohort-191ae5a6d0fe,As,soil,soil_topsoil,,ppp_method_specific_total_or_extractable_soil,xrf,pressed powder pellet; no wet digestion,mg/kg,insufficient_background,1,100,0,0.0099,1,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,1,1,101,0,0,-48.294611,-10.20125,-48.294611,-10.20125,,
cohort-82cf21365896,As,soil,soil_topsoil,<2 mm,aqua_regia_leachable_<2mm_topsoil,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,446,0,0,1.0,444,1,foregs-topsoil,foregs-topsoil,1.0,446,435,0,446,0,-15.57,27.96,26.32,50.86,,
cohort-5734329b244f,As,soil,soil_topsoil,<2 mm,total concentration in <2 mm soil fraction,aas,sodium peroxide and sodium hydroxide fusion,mg/kg,single_lineage_ready,660,1,0,0.9985,660,1,usgs-conus-soil,usgs-conus-soil,1.0,660,657,0,661,0,-124.132,30.4554,-85.0352,41.9863,02/17/09,10/01/08
cohort-56ad54b193aa,As,soil,soil_topsoil,<2 mm,total_selected_<2mm_topsoil,icp_ms,cold HNO3-HF dissolution for selected elements,mg/kg,single_lineage_ready,446,0,0,1.0,446,1,foregs-topsoil,foregs-topsoil,1.0,446,435,0,446,0,-15.5660882,27.96442015,26.319878791,50.8575,,
cohort-2ad702b5aa21,As,soil,soil_topsoil,mineral soil,gemas_protocol_multi_acid_digest_dry_mineral_soil,icp_ms,GEMAS protocol multi-acid digestion,mg/kg,single_lineage_ready,83,0,0,1.0,83,1,pangaea-amazonas-soil,pangaea-amazonas-soil,1.0,83,83,0,83,0,-67.1983,-9.75042,-50.97,-2.53317,2016-03-01,2017-02-27
cohort-fdc9acda47de,As,water,water_river,,freshwater_dissolved_operational_fraction_mg_per_l,other_det_of_as_and_se_by_conversion_to_their_hydrides_and_aspiration_of_the_gas_into_the_ag_h_flame,GEMStat dissolved operational fraction,ug/L,single_lineage_ready,46,2,0,0.9583,46,1,gemstat-open-archive,gemstat-open-archive,1.0,46,0,0,48,0,-91.43916667,38.71,-91.43916667,38.71,1979-02-15T12:00,1991-05-06T11:00
cohort-cbb9f4c87b19,As,water,water_river,,freshwater_dissolved_operational_fraction_ug_per_l,icp_ms,GEMStat dissolved operational fraction,ug/L,single_lineage_ready,26,0,0,1.0,26,1,gemstat-open-archive,gemstat-open-archive,1.0,26,0,0,26,0,-117.6,49.02,-117.6,49.02,2010-03-22T11:33,2010-09-29T10:15
cohort-def3a9d77f7d,As,water,water_river,,freshwater_dissolved_operational_fraction_ug_per_l,other_dissolved_metals_with_in_bottle_digestion_using_inductively_coupled_plasma_sector_field_ms,GEMStat dissolved operational fraction,ug/L,single_lineage_ready,22,0,0,1.0,22,1,gemstat-open-archive,gemstat-open-archive,1.0,22,0,0,22,0,-117.6,49.02,-117.6,49.02,2009-08-03T00:00,2010-03-16T14:20
cohort-f35a8e630874,As,water,water_river,,freshwater_suspended_operational_fraction_ug_per_l,other_extractable_metals_with_inductively_coupled_argon_plasma_sector_field_mass_spectrometer_icp_sfms,GEMStat suspended operational fraction,ug/L,single_lineage_ready,48,0,0,1.0,48,1,gemstat-open-archive,gemstat-open-archive,1.0,48,0,0,48,0,-117.6,49.02,-116.44,51.42,2003-03-10T10:15,2004-01-21T09:51
cohort-5d4b679fdb8e,As,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_determination_of_total_arsenic_antimony_and_selenium_by_inductively_coupled_argon_plasma,GEMStat total operational fraction,ug/L,insufficient_background,6,0,0,1.0,6,1,gemstat-open-archive,gemstat-open-archive,1.0,6,0,0,6,0,-139.78,60.05,-128.9,67.58,2001-09-03T12:30,2002-01-16T14:00
cohort-024406520c76,As,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_inductively_coupled_plasma_icp_method_with_ash3_generation_and_s2o8_digestion,GEMStat total operational fraction,ug/L,insufficient_background,7,0,0,1.0,7,1,gemstat-open-archive,gemstat-open-archive,1.0,7,0,0,7,0,-137.97,60.05,-128.9,60.12,2001-09-16T11:00,2002-01-30T10:40
cohort-fd9bb5e01ffd,As,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_inductively_coupled_plasma_sector_field_mass_spectrometry_with_closed_vessel_digestion,GEMStat total operational fraction,ug/L,single_lineage_ready,52,0,0,1.0,52,1,gemstat-open-archive,gemstat-open-archive,1.0,52,0,0,52,0,-137.97,51.21,-116.44,60.12,2003-03-24T07:15,2004-06-14T09:35
cohort-13759d9da1e8,As,water,water_river,,freshwater_total_operational_fraction_mg_per_l,other_silver_diethyldithiocarbamate_method_with_hno3_digestion,GEMStat total operational fraction,ug/L,single_lineage_ready,42,6,0,0.875,42,1,gemstat-open-archive,gemstat-open-archive,1.0,42,0,0,48,0,-91.43916667,38.71,-74.77833333,40.22166667,1979-02-15T12:00,1982-09-21T09:45
cohort-1dcc04c580ff,As,water,water_river,,freshwater_total_operational_fraction_ug_per_l,icp_ms,GEMStat total operational fraction,ug/L,single_lineage_ready,384,0,0,1.0,384,1,gemstat-open-archive,gemstat-open-archive,1.0,384,0,0,384,0,-139.78,51.21,-116.44,67.58,2010-03-01T10:15,2019-07-16T09:35
cohort-e1ed9e6d3847,As,water,water_river,,freshwater_total_operational_fraction_ug_per_l,other_total_metals_with_in_bottle_digestion_and_inductively_coupled_plasma_sector_field_mass_spectrometer,GEMStat total operational fraction,ug/L,single_lineage_ready,484,6,0,0.9878,484,1,gemstat-open-archive,gemstat-open-archive,1.0,484,0,0,490,0,-139.78,51.21,-116.44,67.58,2003-03-24T07:15,2013-05-21T11:05
cohort-ab44f688df3c,As,water,water_stream,<0.45 micrometre filtered fraction,dissolved_<0.45um_stream_water,other_icp_qms_for_published_trace_metals,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,ug/L,single_lineage_ready,807,0,0,1.0,807,1,foregs-stream-water,foregs-stream-water,1.0,807,0,0,807,0,-8.74,35.5,31.22,70.16,,
cohort-dfb5e4a2acd8,Cr,sediment,sediment_clay_fraction_bulk,clay fraction,clay_fraction_bulk_sediment_analysis,other_x_ray_diffraction_xrd_per_publisher_parameter_labels,"clay fraction, bulk analysis",mg/kg,single_lineage_ready,49,0,0,1.0,49,1,pangaea-east-china-sea-clay,pangaea-east-china-sea-clay,1.0,49,11,0,49,0,117.71,24.188,126.912,31.87,,
cohort-ce21c7a76c38,Cr,sediment,sediment_clay_fraction_leach_residue,clay fraction,clay_fraction_leach_residue_sediment_analysis,other_x_ray_diffraction_xrd_per_publisher_parameter_labels,"clay fraction, post-leach residue",mg/kg,single_lineage_ready,49,0,0,1.0,49,1,pangaea-east-china-sea-clay,pangaea-east-china-sea-clay,1.0,49,11,0,49,0,117.71,24.188,126.912,31.87,,
cohort-d10371fed968,Cr,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,aqua_regia_leachable_<2mm_floodplain_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,374,0,0,1.0,374,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,374,348,0,374,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-1d69ce48dd42,Cr,sediment,sediment_floodplain,<2 mm; pulverized <0.063 mm,total_selected_<2mm_floodplain_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,372,0,0,1.0,372,1,foregs-floodplain-sediment,foregs-floodplain-sediment,1.0,372,346,0,372,0,-15.45288278,27.82639699,26.487047148,49.31,,
cohort-8c9f63f83d01,Cr,sediment,sediment_marine_core,bulk sediment,bulk_marine_sediment_geochemical_analysis,other_geochemical_analysis_on_bulk_sediment,not reported in publisher table,mg/kg,single_lineage_ready,27,0,0,1.0,26,1,pangaea-arabian-sea-sediment,pangaea-arabian-sea-sediment,1.0,27,0,0,27,0,57.3555,10.0345,68.3668,19.5163,,
cohort-65e0bb23ad60,Cr,sediment,sediment_marine_surface,bulk sediment,bulk_marine_surface_sediment_geochemical_analysis,icp_ms,not reported in publisher table,mg/kg,single_lineage_ready,44,0,0,1.0,44,1,pangaea-south-china-sea-sediment,pangaea-south-china-sea-sediment,1.0,44,0,0,44,0,105.2847,4.0725,120.155,20.6,,
cohort-e8b32881be84,Cr,sediment,sediment_stream,<180 µm fine stream sediment,river_sediment_<180um_national_geochemical_map,,,mg/kg,single_lineage_ready,3024,0,0,1.0,3024,1,japan-gsj-geochemical-map,japan-gsj-geochemical-map,1.0,3024,2622,0,3024,0,127.6799,26.1292,145.7221,45.4518,,
cohort-cf752982e827,Cr,sediment,sediment_stream,wet sieved <150 micrometres,aqua_regia_leachable_<150um_stream_sediment,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.85749,,
cohort-dfe4db9b1f09,Cr,sediment,sediment_stream,wet sieved <150 micrometres,total_selected_<150um_stream_sediment,xrf,pressed powder pellet,mg/kg,single_lineage_ready,456,0,0,1.0,456,1,foregs-stream-sediment,foregs-stream-sediment,1.0,456,446,0,456,0,-15.5555631,27.92424718,26.334653006,50.86,,
cohort-a90f2e937694,Cr,soil,soil_agricultural_ploughed,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-92297ba6a546,Cr,soil,soil_agricultural_ploughed,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,2108,0,0,1.0,2108,1,gemas-europe,gemas-europe,1.0,2108,1991,0,2108,0,-16.3444,28.4742,35.1536,70.5883,,
cohort-fecebe15f6a9,Cr,soil,soil_grazing_land,<2 mm,modified_aqua_regia_extractable_dry_soil_<2mm,icp_ms,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-f51bc198e9d7,Cr,soil,soil_grazing_land,<63 um,xrf_total_fused_bead_dry_soil_milled_<63um,xrf,fused bead preparation after milling,mg/kg,single_lineage_ready,116,0,0,1.0,116,1,gemas-europe,gemas-europe,1.0,116,111,0,116,0,-9.5724,35.3114,31.9145,69.4542,,
cohort-b09726cf53e3,Cr,soil,soil_organic_litter,,icpo_method_specific_total_or_extractable_soil,icp_oes,dry ashing of milled organic sample,mg/kg,single_lineage_ready,28,0,0,1.0,28,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,28,26,28,0,0,-37.493361,-7.291667,-34.852917,-7.036667,,
cohort-e445c2c4abc5,Cr,soil,soil_subsoil,,gfd_method_specific_total_or_extractable_soil,xrf,glass fusion disc preparation,mg/kg,exploratory_only,56,44,0,0.56,56,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,56,55,100,0,0,-48.866,-12.484194,-34.932111,-3.019861,,
cohort-14f6c930e7e3,Cr,soil,soil_subsoil,<2 mm,aqua_regia_leachable_<2mm_subsoil,icp_oes,hot aqua regia leach at 95 C,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,410,0,419,0,-8.62,35.04,26.32,51.0,,
cohort-347c20a846e0,Cr,soil,soil_subsoil,<2 mm,total_selected_<2mm_subsoil,xrf,lithium metaborate fusion,mg/kg,single_lineage_ready,419,0,0,1.0,419,1,foregs-subsoil,foregs-subsoil,1.0,419,410,0,419,0,-8.6201987961374,35.043132637,26.319878791,50.99929,,
cohort-1866931bc91a,Cr,soil,soil_subsoil,mineral soil,gemas_protocol_multi_acid_digest_dry_mineral_soil,icp_ms,GEMAS protocol multi-acid digestion,mg/kg,single_lineage_ready,84,0,0,1.0,84,1,pangaea-amazonas-soil,pangaea-amazonas-soil,1.0,84,84,0,84,0,-67.1983,-9.75042,-50.97,-2.53317,2016-03-01,2017-02-27
cohort-07789e760e3b,Cr,soil,soil_topsoil,,gfd_method_specific_total_or_extractable_soil,xrf,glass fusion disc preparation,mg/kg,insufficient_background,5,11,0,0.3125,5,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,5,5,16,0,0,-39.617972,-11.329917,-35.645056,-5.692528,,
cohort-e36477da93d0,Cr,soil,soil_topsoil,,icpms_method_specific_total_or_extractable_soil,icp_ms,full digestion with HF and HNO3 in Walner equipment,mg/kg,single_lineage_ready,35,0,0,1.0,35,1,pangaea-brasol-ne-brazil-soil,pangaea-brasol-ne-brazil-soil,1.0,35,33,35,0,0,-48.316917,-12.418917,-34.852917,-5.838889,,
