sample_key,sample_id,source_ids,medium,sample_type,latitude,longitude,coordinate_status,latitude_band,lithology,matched_geologic_unit,geologic_unit_id,sediment_environment,water_body_type,grain_fraction,sample_depth_min_m,sample_depth_max_m,sampled_at_min,sampled_at_max,n_elements,elements,n_records
australia-ngsa-mercury::2007190001001 Fine,2007190001001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-12.6551,142.2717,canonical_wgs84,tropical,,GLiM:3:ss,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190001002 Fine,2007190001002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-12.6551,142.2717,canonical_wgs84,tropical,,GLiM:3:ss,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190002002 Fine,2007190002002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-13.1195,141.9851,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190003001 Fine,2007190003001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-22.7017,114.8976,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190003002 Fine,2007190003002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-22.7017,114.8976,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190004001 Fine,2007190004001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-22.7363,116.122,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190004002 Fine,2007190004002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-22.7363,116.122,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190005001 Fine,2007190005001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-27.8225,153.0022,canonical_wgs84,subtropical,,GLiM:8:mt,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190005002 Fine,2007190005002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-27.8225,153.0022,canonical_wgs84,subtropical,,GLiM:8:mt,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190007001 Fine,2007190007001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-24.1167,118.3824,canonical_wgs84,subtropical,,GLiM:3:ss,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190007002 Fine,2007190007002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-24.1167,118.3824,canonical_wgs84,subtropical,,GLiM:3:ss,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190009001 Fine,2007190009001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-29.5469,148.5809,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190009002 Fine,2007190009002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-29.5469,148.5809,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190010001 Fine,2007190010001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-17.1653,131.413,canonical_wgs84,tropical,,GLiM:2:vb,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190010002 Fine,2007190010002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-17.1653,131.413,canonical_wgs84,tropical,,GLiM:2:vb,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190011001 Fine,2007190011001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-28.3459,146.8424,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190011002 Fine,2007190011002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-28.3459,146.8424,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190012001 Fine,2007190012001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-22.9801,145.2473,canonical_wgs84,tropical,,GLiM:5:sm,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190012002 Fine,2007190012002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-22.9801,145.2473,canonical_wgs84,tropical,,GLiM:5:sm,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190013001 Fine,2007190013001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-25.8488,135.2452,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190013002 Fine,2007190013002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-25.8488,135.2452,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190014001 Fine,2007190014001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-35.7518,143.6603,canonical_wgs84,temperate,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190014002 Fine,2007190014002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-35.7518,143.6603,canonical_wgs84,temperate,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190015001 Fine,2007190015001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-23.5343,149.7069,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190015002 Fine,2007190015002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-23.5343,149.7069,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190016001 Fine,2007190016001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-30.8569,119.9266,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190016002 Fine,2007190016002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-30.8569,119.9266,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190017001 Fine,2007190017001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-20.7195,120.9245,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190017002 Fine,2007190017002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-20.7195,120.9245,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190018001 Fine,2007190018001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-30.9634,118.7959,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190018002 Fine,2007190018002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-30.9634,118.7959,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190019001 Fine,2007190019001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-34.876,150.4985,canonical_wgs84,subtropical,,GLiM:3:ss,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190032001 Fine,2007190032001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-38.0882,144.2791,canonical_wgs84,temperate,,GLiM:5:sm,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190054001 Fine,2007190054001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-33.3062,139.7598,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190054002 Fine,2007190054002 Fine,australia-ngsa-mercury,sediment,sediment_outlet_bottom,-33.3062,139.7598,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190074001 Fine,2007190074001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-26.7486,134.4646,canonical_wgs84,subtropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
australia-ngsa-mercury::2007190118001 Fine,2007190118001 Fine,australia-ngsa-mercury,sediment,sediment_outlet_top,-12.9586,132.383,canonical_wgs84,tropical,,GLiM:1:su,,outlet_catchment,,<75 µm,,,,,1,Hg,1
