cube_version,source_id,medium,element,sample_type,method_scope,region,measurement_basis,observation_count,distinct_sample_count,independent_lineage_count,reported_coordinate_sample_count,valid_coordinate_sample_count,comparable_observation_count,covered_spatial_cells,spatial_grid
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_last_glacial_loess,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_present_interglacial_paleosol,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Hetao Graben,air_dried_homogenized_<75um_sediment_multi_method,51,51,1,51,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Junggar Basin,air_dried_homogenized_<75um_sediment_multi_method,222,222,1,222,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,North Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,89,89,1,89,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Qaidam Basin,air_dried_homogenized_<75um_sediment_multi_method,63,63,1,63,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,South Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,50,50,1,50,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Tarim Basin,air_dried_homogenized_<75um_sediment_multi_method,170,170,1,170,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,eastern Tibetan Plateau,air_dried_homogenized_<75um_sediment_multi_method,39,39,1,39,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,As,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,northeastern sandy deserts,air_dried_homogenized_<75um_sediment_multi_method,53,53,1,53,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_last_glacial_loess,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_present_interglacial_paleosol,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Hetao Graben,air_dried_homogenized_<75um_sediment_multi_method,51,51,1,51,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Junggar Basin,air_dried_homogenized_<75um_sediment_multi_method,222,222,1,222,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,North Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,89,89,1,89,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Qaidam Basin,air_dried_homogenized_<75um_sediment_multi_method,63,63,1,63,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,South Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,50,50,1,50,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Tarim Basin,air_dried_homogenized_<75um_sediment_multi_method,170,170,1,170,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,eastern Tibetan Plateau,air_dried_homogenized_<75um_sediment_multi_method,39,39,1,39,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cr,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,northeastern sandy deserts,air_dried_homogenized_<75um_sediment_multi_method,53,53,1,53,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_last_glacial_loess,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_present_interglacial_paleosol,dataset_parameter,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Hetao Graben,air_dried_homogenized_<75um_sediment_multi_method,51,51,1,51,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Junggar Basin,air_dried_homogenized_<75um_sediment_multi_method,222,222,1,222,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,North Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,89,89,1,89,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Qaidam Basin,air_dried_homogenized_<75um_sediment_multi_method,63,63,1,63,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,South Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,50,50,1,50,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,Tarim Basin,air_dried_homogenized_<75um_sediment_multi_method,170,170,1,170,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,eastern Tibetan Plateau,air_dried_homogenized_<75um_sediment_multi_method,39,39,1,39,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Cu,sediment_surface_catchment_fluvial_alluvial,dataset_parameter,northeastern sandy deserts,air_dried_homogenized_<75um_sediment_multi_method,53,53,1,53,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_last_glacial_loess,missing,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_present_interglacial_paleosol,missing,Chinese Loess Plateau,air_dried_homogenized_<75um_sediment_multi_method,65,65,1,65,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,Hetao Graben,air_dried_homogenized_<75um_sediment_multi_method,51,51,1,51,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,Junggar Basin,air_dried_homogenized_<75um_sediment_multi_method,222,222,1,222,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,North Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,89,89,1,89,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,Qaidam Basin,air_dried_homogenized_<75um_sediment_multi_method,63,63,1,63,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,South Alxa Plateau,air_dried_homogenized_<75um_sediment_multi_method,50,50,1,50,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
d1-v4-coverage-cube-v1,4tu-northern-china-sediment,sediment,Hg,sediment_surface_catchment_fluvial_alluvial,missing,Tarim Basin,air_dried_homogenized_<75um_sediment_multi_method,170,170,1,170,0,0,0,canonical EPSG:4326 1-degree floor cell; observation coverage only
