record_id,sample_id,element_or_analyte,medium,measurement_basis,original_value_raw,original_value,original_unit,value_qualifier,normalized_value,normalized_unit,normalized_censoring_limit,conversion_factor,conversion_formula,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_uncertainty_m,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,geologic_unit,analytical_method,digestion_or_extraction,laboratory,detection_limit,detection_limit_unit,source_id,source_locator,license,source_tier,qc_flags,operational_confidence
rec-5cc05e1b8ff7c70ff33e2747d971849f635d70a24d16d29efbfc6f9c19d3d090,s_85147 [6004],Ni,rock,GEOROC_precompiled_selected_value,70,70.0,ppm,reported,70.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / TOKKO-KHANI GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=2,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-7227c1d2f6b3cc3f4b3d0798142b9aa99e56cd99367c58d3917b7104354fd2c9,s_86221/9 [6004],Ni,rock,GEOROC_precompiled_selected_value,25,25.0,ppm,reported,25.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / TOKKO-KHANI GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=3,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-61b28a43b30ac28b862b15ab8f0eb0c50fc5c14b91f83b8a8c162469cce2b5d4,s_86231/1 [6004],Ni,rock,GEOROC_precompiled_selected_value,16,16.0,ppm,reported,16.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=4,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-89bc40f1faa239ad70b5c4e1bb8ac8c53721bab2ac94c0ae2ea923cc7ebcaf96,s_8550 [7221],Ni,rock,GEOROC_precompiled_selected_value,789,789.0,ppm,reported,789.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=5,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-d7a20373e6a82a8a03c52918946bbf7cd087b0a198de9e7e0a0c441243d93eb0,s_8551 [7221],Ni,rock,GEOROC_precompiled_selected_value,1095,1095.0,ppm,reported,1095.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=6,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-2e44d08df16d6bae715fd42e7097a2abd435909a5684034620e711982858e6ec,s_8569 [7221],Ni,rock,GEOROC_precompiled_selected_value,1210,1210.0,ppm,reported,1210.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=7,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-e411118bc88187621cc350371b391b93cd96bf165f1259b44cbb5495de6ade17,s_8707/2 [7221] / s_07/2 [9427],Ni,rock,GEOROC_precompiled_selected_value,518,518.0,ppm,reported,518.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=8,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-6f59241802c526d622f14e2327122096515c236f151a2f8d17e3a2d6ef9db531,s_8707/6 [7221] / s_07/6 [9427],Ni,rock,GEOROC_precompiled_selected_value,370,370.0,ppm,reported,370.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=9,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-fb2e5753b03f78fd60460934e8c24f574d171e6142ffd83f3fe41f44b55e0693,s_8707/9 [7221] / s_07/9 [9427],Ni,rock,GEOROC_precompiled_selected_value,397,397.0,ppm,reported,397.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=10,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-3de147d5d88d2794e2e30c4d9786cf3422b19269ea0fbf3aacd4a7109abf0726,s_8707/16 [7221] / s_07/16 [9427],Ni,rock,GEOROC_precompiled_selected_value,356,356.0,ppm,reported,356.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=11,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-1394c58d44deb0f384add56d74c7a3447281b19bb391a4ae7e625105c9457151,s_8715/1 [7221] / s_15/1 [9427],Ni,rock,GEOROC_precompiled_selected_value,131,131.0,ppm,reported,131.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=12,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-8103c1d5441318445a23103953c5f3315d951c4d82e2032ce67e145b0ec17ff2,s_8715/2 [7221] / s_15/2 [9427],Ni,rock,GEOROC_precompiled_selected_value,155,155.0,ppm,reported,155.0,mg/kg,,1.0,normalized = original * 1,57.03,120.72,57.03,120.72,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=13,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-7d789b59aee501eb7dbf322b285f6cbb0c27fefc48bca196b8975c11f3785474,s_O-1-1 [26368],Cu,rock,GEOROC_precompiled_selected_value,31.1,31.1,ppm,reported,31.1,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=172,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-6bf1d34900fa2058c758b2a0b14ef8dc4b823af8619db2b2fcabe95e467fee72,s_O-1-1 [26368],Zn,rock,GEOROC_precompiled_selected_value,117,117.0,ppm,reported,117.0,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=172,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-744379712d5e986e1e2ed18c088384066e43c869404fa7cdd0a77f13ef3e6535,s_O-1-2 [26368],Cu,rock,GEOROC_precompiled_selected_value,151,151.0,ppm,reported,151.0,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=173,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-af9c6e60e442c7027392ea4cc0fd51bd327cd9744128c781ef711c59f8f1b250,s_O-1-2 [26368],Zn,rock,GEOROC_precompiled_selected_value,91.6,91.6,ppm,reported,91.6,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=173,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-a32e253401e55f32ede2afda73ce92cbc2c09b4d130cdad8321e4293c28ecf8b,s_OL1601 [26368],Cu,rock,GEOROC_precompiled_selected_value,147.2,147.2,ppm,reported,147.2,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=174,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-057442e35f3e19479122254d8a2269ff01503a8335938abe529004740fd2210a,s_OL1601 [26368],Zn,rock,GEOROC_precompiled_selected_value,89.04,89.04,ppm,reported,89.04,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=174,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-9981373bbdb13d9078a3809d7f53d036c49acf0bbd4a1d181c5d96db7f62773b,s_OL1602 [26368],Cu,rock,GEOROC_precompiled_selected_value,51.39,51.39,ppm,reported,51.39,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=175,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-1d5e1067f3827be5bd06aeb8f6bb1b623c131f9b3031689705561861e3157cf6,s_OL1602 [26368],Zn,rock,GEOROC_precompiled_selected_value,151.4,151.4,ppm,reported,151.4,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=175,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-fdf0942f07d80eeb611eadd25292c74b8c2eb3fd551689c6c9189083581b0b0e,s_OL1603 [26368],Cu,rock,GEOROC_precompiled_selected_value,11.18,11.18,ppm,reported,11.18,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=176,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-84dd752c2d60b0879680a8efe8da417127e0aa9fe8f4f056c271ea2f1b5ccdbd,s_OL1603 [26368],Zn,rock,GEOROC_precompiled_selected_value,89.93,89.93,ppm,reported,89.93,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=176,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
rec-559e2e2d7768e190b4a1c9f9cd652b6b7d728cc97bfb61a66d08332da0bbc5d4,s_OL16100 [26368],Cu,rock,GEOROC_precompiled_selected_value,8.16,8.16,ppm,reported,8.16,mg/kg,,1.0,normalized = original * 1,57.2,119.6,57.2,119.6,EPSG:4326,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT,,,,,,georoc-archaean,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=177,CC-BY-SA-4.0,official_curated,"[""MISSING_ANALYTICAL_METHOD"",""MISSING_DIGESTION_OR_EXTRACTION"",""MISSING_COORDINATE_UNCERTAINTY""]","{""band"":""medium"",""completeness"":0.818182,""method"":0.333333,""overall"":0.764303,""qc"":0.76,""source"":1.0,""spatial"":0.8,""version"":""d2-confidence-v1""}"
