item_id,record_id,source_id,stage_owner,severity,status,issue_code,field,observed_value,detail,recommended_action,auto_recheck
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3AAs_Col%3AAs%3A0|CENSORED_OBSERVATION|censored|lt,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,scientific_limit,CENSORED_OBSERVATION,censored,lt,这是检出限/定量限约束的删失观测，不等同于零，也不自动视为采集失败。,保留原始 qualifier 与 censoring limit；默认从普通相关和异常筛查中排除，或使用明确的删失统计模型。,false
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3AAs_Col%3AAs%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3ACu_AAS%3ACu%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Cu_AAS:Cu:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3AHg_AAS%3AHg%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Hg_AAS:Hg:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3ANi_AAS%3ANi%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Ni_AAS:Ni:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3APb_AAS%3APb%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Pb_AAS:Pb:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000001%3AZn_AAS%3AZn%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Zn_AAS:Zn:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3AAs_Col%3AAs%3A0|CENSORED_OBSERVATION|censored|lt,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,scientific_limit,CENSORED_OBSERVATION,censored,lt,这是检出限/定量限约束的删失观测，不等同于零，也不自动视为采集失败。,保留原始 qualifier 与 censoring limit；默认从普通相关和异常筛查中排除，或使用明确的删失统计模型。,false
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3AAs_Col%3AAs%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:As_Col:As:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
ITER|profile%3Acdogs-210102-lake-sediment%3Apkg-0134c%3A21%3A0180%3A000004%3ACu_AAS%3ACu%3A0|GEOLOGIC_CONTEXT_MISSING|matched_geologic_unit|,profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Cu_AAS:Cu:0,cdogs-210102-lake-sediment,D2,info,review_required,GEOLOGIC_CONTEXT_MISSING,matched_geologic_unit,,记录没有来源直报或空间匹配的地质单元。,在比例尺与边界不确定性允许时执行空间匹配，并记录地图源、版本、匹配方法和边界距离；否则保留缺失。,true
