record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-4027f62f8de01bc43bf08385c98c8cf355331a930c1e8fa7904a9a38f319ed6d,src-6216c8e218230ec4b2b036aa7bb67bd4a2bce051e0e801a8ad602ff98dc00d5a,s_ST181 [21659],Cu,Cu,6.12,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,2,2026-06-RZZ9VM_ANTARCTICA.csv#row=2,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f1e65aec6b36ddf386550d2033800e1d0ac6c48d795af0af759ed8b87a2f9cce,src-6216c8e218230ec4b2b036aa7bb67bd4a2bce051e0e801a8ad602ff98dc00d5a,s_ST181 [21659],Ni,Ni,1.02,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,2,2026-06-RZZ9VM_ANTARCTICA.csv#row=2,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-710575fcc77fece4b7438bcc33735cbceed2d6852e137929aeb245047d538a80,src-6216c8e218230ec4b2b036aa7bb67bd4a2bce051e0e801a8ad602ff98dc00d5a,s_ST181 [21659],Pb,Pb,12.5,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,2,2026-06-RZZ9VM_ANTARCTICA.csv#row=2,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f5f03425831965708fc6a0714201c441b14a1aa7ae9c00ff02d47efa59aff18b,src-6216c8e218230ec4b2b036aa7bb67bd4a2bce051e0e801a8ad602ff98dc00d5a,s_ST181 [21659],Zn,Zn,44.6,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,2,2026-06-RZZ9VM_ANTARCTICA.csv#row=2,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-467215db974d55eae387d0120eae51ef57db31b30557bf05fa6d8426bef3b502,src-8a14157ef7af76aa8e39d590740be8d5551efd91ca3257fa3243e81467556481,s_STS242 [21659],Cu,Cu,27.8,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,3,2026-06-RZZ9VM_ANTARCTICA.csv#row=3,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-6268b8b41760d20bd941f75a314fba7a54bd6bc2c94cd2e1ab10500358405112,src-8a14157ef7af76aa8e39d590740be8d5551efd91ca3257fa3243e81467556481,s_STS242 [21659],Ni,Ni,0,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,3,2026-06-RZZ9VM_ANTARCTICA.csv#row=3,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-67c2a6aa36a752780b2ae57c62f442ce075837a4a977751fe4656d6e68c7abf4,src-8a14157ef7af76aa8e39d590740be8d5551efd91ca3257fa3243e81467556481,s_STS242 [21659],Pb,Pb,11.2,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,3,2026-06-RZZ9VM_ANTARCTICA.csv#row=3,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-ecc5538aebdd4367cb768632266ca37b4dc04097e7479195a83fdbec370b3611,src-8a14157ef7af76aa8e39d590740be8d5551efd91ca3257fa3243e81467556481,s_STS242 [21659],Zn,Zn,82.9,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,3,2026-06-RZZ9VM_ANTARCTICA.csv#row=3,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-6e5dac27995b6a8009d6c6c4a36c567c529791e961c3a5c7bdc18666cb10fd34,src-3ead59aaa7583dd92f72a847a3a0b15c976c4207af03f3971da2a050ecda0be5,s_ST241 [21659],Cu,Cu,38.9,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,4,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-e3a6c07754cd3dd69cff6f5fba1c54042aba677362f101c1b0a9d43f831dc4ca,src-3ead59aaa7583dd92f72a847a3a0b15c976c4207af03f3971da2a050ecda0be5,s_ST241 [21659],Ni,Ni,66.6,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,4,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-3feb7a82c1129fde01492497be982df8cf5e81e184c80797498ac1e02cfa5497,src-3ead59aaa7583dd92f72a847a3a0b15c976c4207af03f3971da2a050ecda0be5,s_ST241 [21659],Pb,Pb,8.51,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,4,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-51ef0aac33eeb396da4f66a86a28ea44d624f225008c4fcf94e0740e1c9880a7,src-3ead59aaa7583dd92f72a847a3a0b15c976c4207af03f3971da2a050ecda0be5,s_ST241 [21659],Zn,Zn,88,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,4,2026-06-RZZ9VM_ANTARCTICA.csv#row=4,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-0f834770a043af3f9122bc11babfe7648dc6d744cc441508961b4888881ee962,src-643f8a9c602645f4aef214a7463909c7d8fb2ace6b4afc1be3995b47f6f90d42,s_ST254 [21659],Cu,Cu,23.2,ppm,rock,,GEOROC_precompiled_selected_value,,,,,-72.1,-0.3,,,,,,,,,,,CC-BY-SA-4.0,official_curated,georoc-antarctica-intraplate,GEOROC Compilation: Intraplate Volcanic Rocks — Antarctica member,10.25625/RZZ9VM,12.0,2026-06-RZZ9VM_ANTARCTICA.csv,5,2026-06-RZZ9VM_ANTARCTICA.csv#row=5,cdcc0d010f65d1a5d6ba357411a4d6a98d2f9ea3911de22a70bb26cc602b0492,,,,,,,,,WR,rock_whole_rock,dataset_constant,,ANTARCTICA / EASTERN ANTARCTICA / WESTERN DRONNING MAUD LAND,,,,GNEISS [21659],,,,,,,,,PROTEROZOIC [21659],INTRAPLATE VOLCANICS,,,,,,,,not_reported,,,,,,,,,,,winning_method_not_encoded_in_precompiled_member,,,,"[""DIGIS Team (2026). GEOROC Compilation: Intraplate Volcanic Rocks, Version 12.0. GRO.data. https://doi.org/10.25625/RZZ9VM""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
