record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-d88620d097b600596bc4d762bc140d8f7e338a1db04ae454c698bc2310cd4b36,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,As,As,4.7603999999999997,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,hydride generation atomic fluorescence spectrometry (HG-AFS),,aqua regia digestion,,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",hydride generation atomic fluorescence spectrometry (HG-AFS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-12a682475f3d1a99be9486264fd0337b21934ef528134b3142ae8167370c209a,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Cr,Cr,11.4,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,X-ray fluorescence spectrometry (XRF),,fused pellet preparation,,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",X-ray fluorescence spectrometry (XRF),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-a6a9c597ea06076991ae3d631298811c1eb5ac4347d2fb1a402ad509410040d0,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Cu,Cu,9.0385240000000007,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,inductively coupled plasma mass spectrometry (ICP-MS),,four-acid digestion (HF+HNO3+HClO4+aqua regia),,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",inductively coupled plasma mass spectrometry (ICP-MS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-eda314d7a2f3ff325adab4497cc1f56d51dccffebea718afde1d0cf2e366e5c5,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Hg,Hg,7.3461920000000003,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,,,,,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,,,"air-dried, homogenized and sieved through a stainless-steel screen",,,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,,,not_reported,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-540646517aa2abf7a3a825b5166d19309c360f74af89c5d525ec99a41f17c097,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Ni,Ni,7.1123710000000004,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,inductively coupled plasma mass spectrometry (ICP-MS),,four-acid digestion (HF+HNO3+HClO4+aqua regia),,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",inductively coupled plasma mass spectrometry (ICP-MS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-3b191bc3e84514050e4c299d57755b44a8d8310cd5bd3856a1a7b102f60acb12,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Pb,Pb,19.496842000000001,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,inductively coupled plasma mass spectrometry (ICP-MS),,four-acid digestion (HF+HNO3+HClO4+aqua regia),,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",inductively coupled plasma mass spectrometry (ICP-MS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-c954f7181224949b8ca2629cc4866807630ca71c013c8d4d2f35c391a14644f5,src-521cd24c719cf8c6ddd61acc81fab464d4d94ac7773080720d6592110a8fe619,surface-sediments|33,Zn,Zn,33.061855999999999,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,43.914611,85.404167,,,,,,,inductively coupled plasma mass spectrometry (ICP-MS),,four-acid digestion (HF+HNO3+HClO4+aqua regia),,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=35,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Junggar Basin,Junggar Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",inductively coupled plasma mass spectrometry (ICP-MS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-61e4b0bacc403ddf31dff0934ff22288e826b75cf747b27a186badc63d1eab6b,src-fd116bb49edb12e67a88ae0d54a2c66e63b188fe8304b9fa9531fbfdd9143e1a,surface-sediments|259,As,As,5.8543500000000002,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,37.669667,77.930861,,,,,,,hydride generation atomic fluorescence spectrometry (HG-AFS),,aqua regia digestion,,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=261,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Tarim Basin,Tarim Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",hydride generation atomic fluorescence spectrometry (HG-AFS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-eecf7e2b82e6be335b21b2702199d94776860deaa697745224fa6038bf8224bc,src-fd116bb49edb12e67a88ae0d54a2c66e63b188fe8304b9fa9531fbfdd9143e1a,surface-sediments|259,Cr,Cr,39.105899999999998,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,37.669667,77.930861,,,,,,,X-ray fluorescence spectrometry (XRF),,fused pellet preparation,,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=261,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Tarim Basin,Tarim Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",X-ray fluorescence spectrometry (XRF),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-a09ab5082111e069fffa62039dc8097d31d054e12d6c66fc2ff971028d213ea6,src-fd116bb49edb12e67a88ae0d54a2c66e63b188fe8304b9fa9531fbfdd9143e1a,surface-sediments|259,Cu,Cu,15.438779,mg/kg,sediment,,air_dried_homogenized_<75um_sediment_multi_method,,,,,37.669667,77.930861,,,,,,,inductively coupled plasma mass spectrometry (ICP-MS),,four-acid digestion (HF+HNO3+HClO4+aqua regia),,CC0-1.0,official_curated,4tu-northern-china-sediment,Raw data of Geochemical Compositions of Surface Sediments in Northern China,10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0,4TU-Figshare-v1-2020-07-28,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx,,Dataset of Geochemical Compositions of Surface Sediments in northern China.xlsx#sheet=surface-sediments&row=261,https://data.4tu.nl/articles/dataset/Raw_data_of_Geochemical_Compositions_of_Surface_Sediments_in_Northern_China/12703148,6b06695e359986bf0a50c6d0febda08ffa25a61028c00cdadd60cc8426001232,,,,<75 µm,,,,,"surface catchment, fluvial and/or alluvial sediment at approximately 25 cm depth",sediment_surface_catchment_fluvial_alluvial,exact,,Tarim Basin,Tarim Basin,,,,,,,catchment_fluvial_alluvial,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_readme_element_method_mapping,"air-dried, homogenized and sieved through a stainless-steel screen",inductively coupled plasma mass spectrometry (ICP-MS),,,,GSS-1; GSS-2; GSS-17; GSS-19; GSS-25; GSS-26; GSS-27; GAu2a; GAu2b; GAu9a; GAu9b; GAu10a; GAu10b; GAu11a; GAu11b; GPt-1; GPt-2; GPt-7; GPt-8,README.pdf#multi-method-analytical-scheme-and-quality-control,,,,,,"[""Lin, Xin (2020). Raw data of Geochemical Compositions of Surface Sediments in Northern China. 4TU.ResearchData. https://doi.org/10.4121/uuid:6cb0bf79-7467-4e78-a531-cc91655d9fd0""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/publicdomain/zero/1.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
