record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-98a975e1668a3f4385f5456296412442187d1eded49a8160964ad52519667c15,src-2518efeaaf94d3887541b7a3a4f37e773e45e3aa1cb4f562dba2a118f6cefeaf,icr005934,As,0.262535152,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,0.60460311943378309,mg kg^-1,-6.92975998,36.09859085,,,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9e4b0cd2f670220feab8c9d8c467be7943050b68a297d1bd555fb3753432ca9c,src-2518efeaaf94d3887541b7a3a4f37e773e45e3aa1cb4f562dba2a118f6cefeaf,icr005934,Cu,17.3685872,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,2.6558349509814212,mg kg^-1,-6.92975998,36.09859085,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-bb78a3516362f336015e4b35f444a6b4e75717fdd402d8ad933bee5c04d31a7e,src-2518efeaaf94d3887541b7a3a4f37e773e45e3aa1cb4f562dba2a118f6cefeaf,icr005934,Ni,24.10590367,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,0.23413278214833627,mg kg^-1,-6.92975998,36.09859085,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-bfa94e91bd969dd75ed1d32fbd5ab3fe765821081b9385e22e8df62bf1478d72,src-2518efeaaf94d3887541b7a3a4f37e773e45e3aa1cb4f562dba2a118f6cefeaf,icr005934,Zn,33.41106803,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,1.8582896635084745,mg kg^-1,-6.92975998,36.09859085,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=2,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f1d792a515754c4e7c439547cb2b0c0a25dc60008cf178e7cfa3e0debddb356f,src-5f4c704bbaf67f47d80cb4b53d9d2d295792e45c089fa1c1893d89a6ee3f5c8e,icr030027,As,1.991408208,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,0.60460311943378309,mg kg^-1,8.5800066,34.98209381,,,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,2009/2013,0.2,0.5,<2 mm,Subsoil,soil_subsoil,exact,,,,,,,,,Subsoil,subsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-dfb7725bd2fc73989bd370361df6498cd4d6659409bdec19ef7263637e103b6c,src-5f4c704bbaf67f47d80cb4b53d9d2d295792e45c089fa1c1893d89a6ee3f5c8e,icr030027,Cu,43.50550753,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,2.6558349509814212,mg kg^-1,8.5800066,34.98209381,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,2009/2013,0.2,0.5,<2 mm,Subsoil,soil_subsoil,exact,,,,,,,,,Subsoil,subsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f6603ee69bb905f9525b0b7b1a0b842ad0a7b55f7aa2e2878b70c449108e0330,src-5f4c704bbaf67f47d80cb4b53d9d2d295792e45c089fa1c1893d89a6ee3f5c8e,icr030027,Ni,90.78275904,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,0.23413278214833627,mg kg^-1,8.5800066,34.98209381,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,2009/2013,0.2,0.5,<2 mm,Subsoil,soil_subsoil,exact,,,,,,,,,Subsoil,subsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-36ea432335848889af4f910bfa5500c6fe48afa1893ed0edb224a50ccd1adef7,src-5f4c704bbaf67f47d80cb4b53d9d2d295792e45c089fa1c1893d89a6ee3f5c8e,icr030027,Zn,73.79036332,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,1.8582896635084745,mg kg^-1,8.5800066,34.98209381,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,2009/2013,0.2,0.5,<2 mm,Subsoil,soil_subsoil,exact,,,,,,,,,Subsoil,subsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=375,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-606943eb85cedee58fcb1226e59f8001c195ee7e695f1bab9fe4d676952b108e,src-9dda586b5aacc419e9a1f03f369dcbb4368e70b7063870a61c841acb1e62f32f,icr033353,As,1.013677475,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,0.60460311943378309,mg kg^-1,-0.147003,38.99001312,,,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=555,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Inductively Coupled Plasma Mass Spectrometry (ICP-MS),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=555,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d72f199ceb14654dad8ddf5c6813b1893068f693a5834a60af197a43f1a4d6fa,src-9dda586b5aacc419e9a1f03f369dcbb4368e70b7063870a61c841acb1e62f32f,icr033353,Cu,17.09613855,mg kg^-1,soil,aqua_regia_quasi_total_air_dry_soil,,2.6558349509814212,mg kg^-1,-0.147003,38.99001312,,,,Optical Emission spectrometry ( ICP-OES),Aqua regia acid digest,Rothamsted Research,CC-BY-4.0,official_curated,afsis-phase-i-wet-chemistry,AfSIS_Phase_I_wet_chemistry_v2.csv#row=555,2009/2013,0,0.2,<2 mm,Topsoil,soil_topsoil,exact,,,,,,,,,Topsoil,topsoil,,,,,,,,,,,,,,,,,,,not_reported,dataset,,dataset_variable_and_threshold_metadata,,Optical Emission spectrometry ( ICP-OES),,,,,AfSIS_Phase_I_wet_chemistry_v2.csv#row=555,doi:10.5194/soil-7-305-2021,,,doi:10.5194/soil-7-305-2021,10.5194/soil-7-305-2021,"[""von Fromm, S. F. et al. (2021). Continental-scale controls on soil organic carbon across sub-Saharan Africa. SOIL 7, 305-332. doi:10.5194/soil-7-305-2021. Dataset version 2.0: doi:10.34725/DVN/66BFOB.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
