record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:As:0,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,As,As,ND,ppm,soil,,source_reported_soil_unspecified_horizon,not_detected,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:Cr:1,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,Cr,Cr,20,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:Cu:2,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,Cu,Cu,15,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:Ni:3,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,Ni,Ni,7,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:Pb:4,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,Pb,Pb,30,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954:Zn:5,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-001%7CJBC211%7C2%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D2%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87954,1046-JC-L-001|JBC211,Zn,Zn,ND,ppm,soil,,source_reported_soil_unspecified_horizon,not_detected,,,,,,-27.590198043999976,-48.70686083099997,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-001","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=2;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87954,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966:As:0,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966,1046-JC-L-007|JBC339,As,As,ND,ppm,soil,,source_reported_soil_unspecified_horizon,not_detected,,,,,,-27.591334631999985,-48.70683717200001,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-007","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966:Cr:1,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966,1046-JC-L-007|JBC339,Cr,Cr,15,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.591334631999985,-48.70683717200001,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-007","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966:Cu:2,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966,1046-JC-L-007|JBC339,Cu,Cu,200,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.591334631999985,-48.70683717200001,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-007","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966:Ni:3,src-source-record-v2%7Cbrazil-sgb-florianopolis-soil%7C1046-JC-L-007%7CJBC339%7C8%7Cgeoquimica_florianopolis_1985.zip%2FFlorianopolis_Geoquimica_Solo.xlsx%23row%3D8%3Bhttps%3A%2F%2Fgeoportal.sgb.gov.br%2Fserver%2Frest%2Fservices%2Fgeoquimica%2Fgeoquimica_integrada%2FFeatureServer%2F5%23OBJECTID%3D87966,1046-JC-L-007|JBC339,Ni,Ni,10,ppm,soil,,source_reported_soil_unspecified_horizon,reported,,,,,,-27.591334631999985,-48.70683717200001,EPSG:4326,,,,Espectrografia Ótica de Emissão,,,,LicenseRef-SGB-RIGEO-open-item-metadata,government,brazil-sgb-florianopolis-soil,,,SGB-RIGEO-doc-23413-2022-bitstream-4ac11c55-soil,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,1987-11-01,,,,,,,,Solo,soil_unspecified_horizon,mapped,,,"Florianopolis, Brazil / Florianópolis / 1046-JC-L-007","Florianopolis, Brazil",,,,,Nao Identificado,,source reports Nao Identificado,,,,,,,,,,,,,,,,,,matched_arcgis_sample_lab,not_reported,record,[],source_workbook_leitura_field,,Espectrografia Ótica de Emissão,,,,,geoquimica_florianopolis_1985.zip/Florianopolis_Geoquimica_Solo.xlsx#row=8;https://geoportal.sgb.gov.br/server/rest/services/geoquimica/geoquimica_integrada/FeatureServer/5#OBJECTID=87966,,,,,,"[""Servico Geologico do Brasil - CPRM (2022), Resultados Analiticos de Amostras Geoquimicas e Produtos Associados, RIGeo doc/23413.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://rigeo.sgb.gov.br/handle/doc/23413,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
