record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Zn_AAS:Zn:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Zn_AAS,21:0102:000012:0001:0001:02,Zn,56,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.8305091,-76.1809859,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Zn_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Zn_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Cu_AAS:Cu:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Cu_AAS,21:0102:000012:0001:0001:02,Cu,26,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.8305091,-76.1809859,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Cu_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Cu_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Pb_AAS:Pb:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Pb_AAS,21:0102:000012:0001:0001:02,Pb,12,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.8305091,-76.1809859,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Pb_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Pb_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Ni_AAS:Ni:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Ni_AAS,21:0102:000012:0001:0001:02,Ni,11,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.8305091,-76.1809859,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Ni_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Ni_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Hg_AAS:Hg:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:Hg_AAS,21:0102:000012:0001:0001:02,Hg,30,ppb,sediment,source_native_unspecified_basis,reported,10,ppb,44.8305091,-76.1809859,EPSG:4269,,,Cold vapour atomic absorption spectroscopy,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Hg_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Cold vapour atomic absorption spectroscopy,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=Hg_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:As_Col:As:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000001:As_Col,21:0102:000012:0001:0001:02,As,<1,ppm,sediment,source_native_unspecified_basis,lt,1,ppm,44.8305091,-76.1809859,EPSG:4269,,,Colorimetry,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=As_Col,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000012,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,Colorimetry,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9761&column=As_Col,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Zn_AAS:Zn:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Zn_AAS,21:0102:000002:0001:0001:00,Zn,34,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.7385414,-76.0335541,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Zn_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000002,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Zn_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Cu_AAS:Cu:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Cu_AAS,21:0102:000002:0001:0001:00,Cu,8,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.7385414,-76.0335541,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Cu_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000002,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Cu_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Pb_AAS:Pb:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Pb_AAS,21:0102:000002:0001:0001:00,Pb,4,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.7385414,-76.0335541,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Pb_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000002,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Pb_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
profile:cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Ni_AAS:Ni:0,cdogs-210102-lake-sediment:pkg-0134c:21:0180:000004:Ni_AAS,21:0102:000002:0001:0001:00,Ni,2,ppm,sediment,source_native_unspecified_basis,reported,2,ppm,44.7385414,-76.0335541,EPSG:4269,,,AAS; air-acetylene flame,,,LicenseRef-Government-of-Canada-Terms,,cdogs-210102-lake-sediment,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Ni_AAS,,,,<177 micron (NGR),NGR lake sediment grab sample,sediment_lake,exact,,,CDoGS survey 21:0102 / 21:0102:000002,CDoGS survey 21:0102,,,,,,,lake,,,,,,,,,,,,,,,,,source_native_nad83,not_reported,package_column,[],official_cdogs_package_column_method_table,,AAS; air-acetylene flame,,,,,https://geochem.nrcan.gc.ca/ftp/data/raw_data/svy/svy210102_pkg_0134c.xlsx#sheet=1&row=9764&column=Ni_AAS,,,,,,"[""Geological Survey of Canada Open Files 405 and 899; CDoGS survey 21:0102.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.canada.ca/en/transparency/terms.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
