record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-1954125fa0fa765e593d4d0e9062439de7b2c95d28f9129bcb560282d2162c57,src-db5deae4033b7f796490a6016b91d3d29a95c8244616be9603d623663e12c41e,EKD2-2,Cr,Cr,30.668500000000002,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,7,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=7,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=30,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-a76b5d9942c71aee573dace57203aa82ebd90ae717511efce1dc287a04c830e1,src-db5deae4033b7f796490a6016b91d3d29a95c8244616be9603d623663e12c41e,EKD2-2,Cu,Cu,12.61923,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,7,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=7,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=36,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-10d3a12abed39d100b233f9d76bb77c1c8b73769cea64e479f1e2503fcd4146d,src-db5deae4033b7f796490a6016b91d3d29a95c8244616be9603d623663e12c41e,EKD2-2,Ni,Ni,5.665,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,7,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=7,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=31,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-79bd5102507bcdd94f5332f88cdbd160f2b89da05856af7e50808f9dbe8f3836,src-db5deae4033b7f796490a6016b91d3d29a95c8244616be9603d623663e12c41e,EKD2-2,Pb,Pb,32.615764999999996,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,7,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=7,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=21,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-c8b66e42595260020ddeec06130b5f0cf173f5b1205426700ac443dc06cdcca1,src-db5deae4033b7f796490a6016b91d3d29a95c8244616be9603d623663e12c41e,EKD2-2,Zn,Zn,62.499499999999998,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,7,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=7,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=35,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-543eb7950429a50611a8c4a853b1b9c9a7f0ec410262a76c0813835e934c982b,src-1a1c0a67e7c62b2ba629261e09f34b2c22fd500aedf2e82f16c4924fa3229267,EKD3,Cr,Cr,42.798999999999999,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,8,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=8,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=30,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-8732e2e887b00e8bf7b9e5103cd8784ae901064a78b5fbed9e72e217e9800d16,src-1a1c0a67e7c62b2ba629261e09f34b2c22fd500aedf2e82f16c4924fa3229267,EKD3,Cu,Cu,9.0441000000000003,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,8,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=8,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=36,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-d81732204748fc3c687caf1ca122c02f5f7f42f71abc75d0ed2b8dbcb405304d,src-1a1c0a67e7c62b2ba629261e09f34b2c22fd500aedf2e82f16c4924fa3229267,EKD3,Ni,Ni,5.5190000000000001,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,8,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=8,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=31,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-8726b3a3847e0bacd54e7de894c43f0b2954cd0671ce2669fa516c437542abb6,src-1a1c0a67e7c62b2ba629261e09f34b2c22fd500aedf2e82f16c4924fa3229267,EKD3,Pb,Pb,29.016715000000001,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,8,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=8,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=21,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-78be1f8475e6daedc36937093b89e13cf75e51d26f089651add8d431aa738a0a,src-1a1c0a67e7c62b2ba629261e09f34b2c22fd500aedf2e82f16c4924fa3229267,EKD3,Zn,Zn,61.313500000000005,ppm,rock,,whole_rock_bulk_trace_element,,,,,35.764099999999999,99.420500000000004,,,,,,,ICPMS,,,"Wuhan Samplesolution Analytical Technology Co., Ltd., Wuhan, China",CC-BY-SA-4.0,official_curated,earthchem-dehailonggang-rock,"The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau",10.60520/IEDA/113338,EarthChem Library dataset 3338 version 1.0 (2024),3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx,8,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet3-row=8,https://ecl.earthchem.org/view.php?id=3338,ccdc26ee169919144f7d1c8726eb8075c99b4d9cba30d249906f79c045a12ca7,,,,,,,,,whole rock,rock_whole_rock,exact,,"Dehailonggang complex, East Kunlun Orogen","Dehailonggang complex, East Kunlun Orogen",,,granodiorite,,,,,,,,,,,,,,,,,,not_reported,dataset_parameter,workbook_method_code_to_parameter_join,,ICPMS,Agilent 7700e,,,,3338-1_Bulk-rockmajorandtraceelementcomposition.xlsx#sheet4-row=35,,,,,,"[""Zou, Bowen (2024): The bulk-rock composition of the Dehailonggang volcanic-plutonic complex of the East Kunlun Orogen, northern Tibet Plateau. EarthChem Library. https://doi.org/10.60520/IEDA/113338""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by-sa/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
