record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-7eddc774f067e9d3244bfd4644321a651e8ea50c609b8f6ec04a4bae3fad07fa,src-5ac9b36f9e3e3d857878dfb9e713f23eb68243289c97e7ea271d075d91c0b7ba,484,As,As,6.5,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,24.9482982269,101.499114194,24.9482982269,101.499114194,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=485,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Chuxiong City / Huanglianpo Village, Donghua Town","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-b09020388eff20209d1638fb36df3b68c83b73e3edfefa40ed2cf42a4e9df5c9,src-313b95b7b19317b84d305f61f58b1bf108003071c778ff0df56f654409b9c6af,481,Cr,Cr,28.7,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,24.9482982269,101.499114194,24.9482982269,101.499114194,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=482,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Chuxiong City / Huanglianpo Village, Donghua Town","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-73f0763a453d5982adef3641f67a7f40342e6fbfeabd24fb07a006cde7d3f051,src-9e65912ab07bb5094682e6de6cbc1dd1e0932f90bba2853cf1491ed7139d961d,223,Cu,Cu,17.52,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.1002870587,101.28669764,25.1002870587,101.28669764,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=224,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Nanhua County / Yulu Township","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-299f61caa6d37e1076176db97d295d3d736ca66e9c01a48acabb9865e8cb7758,src-8cc20e38de693c289293e6671516e0cef11f0bdfdba390bb26059f79217638b6,485,Hg,Hg,0.23,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,24.9482982269,101.499114194,24.9482982269,101.499114194,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=486,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Chuxiong City / Huanglianpo Village, Donghua Town","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-b802a6e5defcdf1dfec3e7539db92e39f7d5dd9d126224df39a122ff9acbcf42,src-bdad6d5f25df8890db655a9d43f2d59686336513da15d16c1d6c838b5076995f,483,Ni,Ni,4.3,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,24.9482982269,101.499114194,24.9482982269,101.499114194,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=484,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Chuxiong City / Huanglianpo Village, Donghua Town","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-2f780722e9129a5bf2712a68e6132e4cbc2b324c6b2cd08bf61683607caf966f,src-c4200f78ecf0a89266f2ac882946d3f02f1a95962de28c9c0310438b41d626ec,4924,Pb,Pb,22.15,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.5282911695,101.382568217,25.5282911695,101.382568217,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=4925,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Yao'an County / Mushu Village, Qianchang Town","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-05d438c92d583ca8c7ac1336517cab3d8ec83c5edd31fdaae33ea0e215dfbd3e,src-5328fc18288b1aeff3003a6d3ecfaf7b5fcdeae8d0033b4b4319aede390d609f,222,Zn,Zn,18.39,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.1002870587,101.28669764,25.1002870587,101.28669764,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=223,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan / Chuxiong Yi Autonomous Prefecture / Nanhua County / Yulu Township","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-00b689c766da3ccb79ccbd84bfa92b0376b132cfa97ec787b9dd9d1760d1fcc5,src-b63370dcc16cfcfa4c8ad4ff4eb693413b6a19b18e09c0bf6d75a0b97ccf824a,603,As,As,3.85,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.0515622673,102.716416075,25.0515622673,102.716416075,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=604,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-06dfd86ef4ea15111b32998036d3f4b2d09db48c8b4c81135382287d5741fd58,src-3ff84c57e97782d48410302d32390e8e4624f4cd43f3b280a6d3a4da839e3ae0,600,Cr,Cr,68.25,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.0515622673,102.716416075,25.0515622673,102.716416075,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=601,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
rec-5f78a4e82838a16a19a64a3aebc07f5e45b7c414ab5b399383d94b8f2ebe5849,src-1b5f06aeb401f7ef01d5235b5f43da8f1d2c49825d187c32598018a059c6ac5d,598,Cu,Cu,16.14,mg/kg,soil,,publisher_compiled_soil_concentration_mean,,,,,25.0515622673,102.716416075,25.0515622673,102.716416075,,,,,,,,,CC-BY-4.0,peer_reviewed,figshare-yangtze-basin-soil-heavy-metals,"A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020)",10.6084/m9.figshare.22785971.v1,figshare-v1-2023-05-10,Records.xlsx,,Records.xlsx#sheet=Records&row=599,https://figshare.com/ndownloader/files/40503701,6aa14bdaf87dac28864b59d867b27db536af7b7253fcf8ce0e50c483927289ae,,,,,,,,,literature-compiled soil occurrence,soil_literature_occurrence,dataset_constant,,"Yangtze River Basin, China / Yunnan","Yangtze River Basin, China",,,,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,publisher_compilation_omits_row_method,,doi:10.1002/gdj3.280,10.1002/gdj3.280,"[""Sun, Y. et al. (2023): A georeferenced dataset of heavy metal occurrence in the soils of the Yangtze River Basin, China (2000-2020). Figshare. https://doi.org/10.6084/m9.figshare.22785971.v1""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-14T20:30:00Z
