record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-f90a2402121ba5f4f96a9fb5220b30ffdd38d826d3ba316c723a12fe38da2d61,src-066760d69678d06ff6fd54a11ab608bcef18f17cd0a939fd2af242dbcd343cfc,N30E02H2,Cu,Cu,3.7,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.96,2.03,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,4,H_icp_data_2v2_11Mar04.csv#row=4,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-118dc8bc0884fc978f377249e63748ad369a0ba8260ed82313bacf42ca330754,src-066760d69678d06ff6fd54a11ab608bcef18f17cd0a939fd2af242dbcd343cfc,N30E02H2,Ni,Ni,2.1,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.96,2.03,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,4,H_icp_data_2v2_11Mar04.csv#row=4,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-b5fa2c8dd81423b1ac5997e7698f6e71817c972641bc6828e7bc031f5e4d656e,src-066760d69678d06ff6fd54a11ab608bcef18f17cd0a939fd2af242dbcd343cfc,N30E02H2,Zn,Zn,15.2,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,1,mg/kg,,,44.96,2.03,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,4,H_icp_data_2v2_11Mar04.csv#row=4,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-7822f98d4aa40a9e878cd2a48f39484c2691c0c17ccf126840e099ee6b9d3eb8,src-6bc1f72df4d15e03317dd62f401af54c7173adc40b609df8fdf15b030fb0acd0,N30E02H5,Cu,Cu,3.1,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.71,3.38,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,5,H_icp_data_2v2_11Mar04.csv#row=5,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-94c6ec69855f2729ea7bf42a2724706e8936c85519ec4a3a3977c035732ece39,src-6bc1f72df4d15e03317dd62f401af54c7173adc40b609df8fdf15b030fb0acd0,N30E02H5,Ni,Ni,1.9,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.71,3.38,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,5,H_icp_data_2v2_11Mar04.csv#row=5,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-1464cd9029d6f9c5e032a2dec9c5a2119e53cf3c201d96862916668a7a9453a4,src-6bc1f72df4d15e03317dd62f401af54c7173adc40b609df8fdf15b030fb0acd0,N30E02H5,Zn,Zn,19.8,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,1,mg/kg,,,44.71,3.38,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,5,H_icp_data_2v2_11Mar04.csv#row=5,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-875b6388f2c7d3aa5e0f70ce6548d1b3f77db2babeb3943c7ee372f45dd0ce61,src-1a95874b71ae1067ec4ba5b816f5a86206125a784207fb50ac1b7c9cc2d7f7d1,N30E04H2,Cu,Cu,8.4,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.67,6.65,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,6,H_icp_data_2v2_11Mar04.csv#row=6,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-4d44bcee13a64753c9033f38f4313075ee86b011a85be29f04e924740b510150,src-1a95874b71ae1067ec4ba5b816f5a86206125a784207fb50ac1b7c9cc2d7f7d1,N30E04H2,Ni,Ni,9.1,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.67,6.65,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,6,H_icp_data_2v2_11Mar04.csv#row=6,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c051816f698f5b4389029dd5e96b295a646110166c7710606f96ecf78707eb4c,src-1a95874b71ae1067ec4ba5b816f5a86206125a784207fb50ac1b7c9cc2d7f7d1,N30E04H2,Zn,Zn,36.2,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,1,mg/kg,,,44.67,6.65,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,6,H_icp_data_2v2_11Mar04.csv#row=6,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f4becae44b99fd9f8cdfb54fd9e69a24438ec93879dc415e39d94d0b5def0ce9,src-e3ae8b090ff0db518aab2b406cc91013eed1cc3706b055d5a26eb22727775148,N30E06H5,Cu,Cu,23.1,mg/kg,soil,,mild_nitric_acid_leachable_humus,,,0.3,mg/kg,,,44.18,10.13,EPSG:4326,,,,ICP-MS,,4.5% HNO3 ultrasonic extraction for 90 minutes,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-humus,FOREGS Geochemical Atlas of Europe: humus,,FOREGS-Atlas-2005-publisher-files-2026-03-03,H_icp_data_2v2_11Mar04.csv,7,H_icp_data_2v2_11Mar04.csv#row=7,d1a943e3bcf5e601541e44b48bafb7e73c61c5ededa23d008cf334ad3b9506f4,,,,source humus material,humus / organic horizon where present,soil_humus,dataset_constant,,,,,,,,,organic_horizon,,,,,,,,,,,,,,,not_reported,file,source_file_method_constant,,ICP-MS,,,,,H_icp_data_2v2_11Mar04.csv#row=7,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
