record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-b89fa5239c1f7abe0d7db6e0032f9b0fc4728f1feba3bec3c1ebcc7892a0f5c1,src-ca2335cc37c03b49b6fe2627ab0912cc8fe9ad4a71450d70b66374ee5ad9e496,N19W10S1,As,2.5,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,5,mg/kg,27.92424718,-15.5555631,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=4,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-2475e77533fced27b83eb69bf615076ae2238d34cd0a48c6f2e998c93ee0ba69,src-ca2335cc37c03b49b6fe2627ab0912cc8fe9ad4a71450d70b66374ee5ad9e496,N19W10S1,Cu,13,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,1,mg/kg,27.92424718,-15.5555631,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=4,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-36e349518dc11ab45ec02981c916d5821c1253e9b82ffe48e6b741414f85629b,src-ca2335cc37c03b49b6fe2627ab0912cc8fe9ad4a71450d70b66374ee5ad9e496,N19W10S1,Ni,22,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,2,mg/kg,27.92424718,-15.5555631,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=4,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c5e3276b524da60ed73d49d35fbf7004597b5b1528a882d13c9b8aaa3e0c8b38,src-ca2335cc37c03b49b6fe2627ab0912cc8fe9ad4a71450d70b66374ee5ad9e496,N19W10S1,Zn,173,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,1,mg/kg,27.92424718,-15.5555631,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=4,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-36bd686e2ffc34b97c44537ccfcf18a105d14230e811a9cafc6d4dc44f71c4e1,src-f9af039f9e4c9f75983a4d5e410a2a7a406c17453f14b4d2afe8ce0677c3e1cd,N24E14S1,As,7,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,5,mg/kg,35.495986822,23.817733486,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=5,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-3b978c5bec4b0d6d314fe97ef0bf40211f4147d828ee479b37d587c4e57153f0,src-f9af039f9e4c9f75983a4d5e410a2a7a406c17453f14b4d2afe8ce0677c3e1cd,N24E14S1,Cu,23,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,1,mg/kg,35.495986822,23.817733486,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=5,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9067154998951591060dc863baaac3977dcf468457e4e30de64e4d5934e2cecb,src-f9af039f9e4c9f75983a4d5e410a2a7a406c17453f14b4d2afe8ce0677c3e1cd,N24E14S1,Ni,21,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,2,mg/kg,35.495986822,23.817733486,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=5,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c92793c9376670eec0c6312fb0a90c3f94f25b4702aee50b110082ffaa726848,src-f9af039f9e4c9f75983a4d5e410a2a7a406c17453f14b4d2afe8ce0677c3e1cd,N24E14S1,Zn,38,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,1,mg/kg,35.495986822,23.817733486,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=5,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-bd45616974fa1a53cd7d23f749368fc6f9b472e31e1c8f754d9a415fd9a6897d,src-da9a06935ae1bebfd31b19746bd649b4d82c1266b57003cdaca9c59e27710458,N24E15S2,As,8,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,5,mg/kg,35.407982245,24.676988778,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=6,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-153afa63443a9aa37db021a13485a07eb1cf22c178826fba9f90308b761f201e,src-da9a06935ae1bebfd31b19746bd649b4d82c1266b57003cdaca9c59e27710458,N24E15S2,Cu,19,mg/kg,sediment,aqua_regia_leachable_<150um_stream_sediment,,1,mg/kg,35.407982245,24.676988778,EPSG:4326,,,ICP-AES,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-sediment,S_AR_data_2v5_30Nov2006.csv#row=6,,,,wet sieved <150 micrometres,active stream sediment composite from a small drainage basin,sediment_stream,dataset_constant,,,,,,,,,,,stream,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,S_AR_data_2v5_30Nov2006.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
