record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-e35c4059338022201891116802ed9077497d0ca5c6d80cd062eb4ab6c14122e9,src-05507429edadae17bbb7758f6b1fc0f9f5eb02b24f99dc7fe674ea1c16d99666,N28E11W1,As,As,0.12,µg/l,water,,dissolved_<0.45um_stream_water,,,0.01,µg/l,,,41.792,20.065,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,4,W_all_data_2v8_17Sep07.csv#row=4,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-1817cd747b36e16a5e89011e921b87d4cd5ff23a858c05d28204a0bca3d084e2,src-05507429edadae17bbb7758f6b1fc0f9f5eb02b24f99dc7fe674ea1c16d99666,N28E11W1,Cu,Cu,0.08,µg/l,water,,dissolved_<0.45um_stream_water,,,0.005,µg/l,,,41.792,20.065,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,4,W_all_data_2v8_17Sep07.csv#row=4,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-34436ad304982dce48ec48df5d09e906448c4effeb5cc6a325eaa574b08170eb,src-05507429edadae17bbb7758f6b1fc0f9f5eb02b24f99dc7fe674ea1c16d99666,N28E11W1,Ni,Ni,2.36,µg/l,water,,dissolved_<0.45um_stream_water,,,0.005,µg/l,,,41.792,20.065,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,4,W_all_data_2v8_17Sep07.csv#row=4,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d5cef813e71a7bcff7e51532a45e6b0e5e3b09434e7e79c364fd6add51eab532,src-05507429edadae17bbb7758f6b1fc0f9f5eb02b24f99dc7fe674ea1c16d99666,N28E11W1,Zn,Zn,0.21,µg/l,water,,dissolved_<0.45um_stream_water,,,0.01,µg/l,,,41.792,20.065,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,4,W_all_data_2v8_17Sep07.csv#row=4,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-7a90461c1b99ebfdfaffead4e9fab0f2355f4d63044c9132990222b112930dc3,src-7f6033afeff4ff962fb9823ca87e3574af8e8bc4a719b3c14a1b3bf7e0745655,N28E11W4,As,As,0.22,µg/l,water,,dissolved_<0.45um_stream_water,,,0.01,µg/l,,,40.918,20.182,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,5,W_all_data_2v8_17Sep07.csv#row=5,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-7a3ae41654700b23223ef93cb582d1ab2e182ba7447b87b28afff65fbfd3fb2b,src-7f6033afeff4ff962fb9823ca87e3574af8e8bc4a719b3c14a1b3bf7e0745655,N28E11W4,Cu,Cu,0.22,µg/l,water,,dissolved_<0.45um_stream_water,,,0.005,µg/l,,,40.918,20.182,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,5,W_all_data_2v8_17Sep07.csv#row=5,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-4c10b09d914ca335fed44f6ba370fa664dc1dbaec68b27268c3be320cae6c2e2,src-7f6033afeff4ff962fb9823ca87e3574af8e8bc4a719b3c14a1b3bf7e0745655,N28E11W4,Ni,Ni,2.53,µg/l,water,,dissolved_<0.45um_stream_water,,,0.005,µg/l,,,40.918,20.182,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,5,W_all_data_2v8_17Sep07.csv#row=5,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-648bb39279bb94b549ce45714a54808d7066f3887ee402a1ac9cca18e1501b07,src-7f6033afeff4ff962fb9823ca87e3574af8e8bc4a719b3c14a1b3bf7e0745655,N28E11W4,Zn,Zn,0.13,µg/l,water,,dissolved_<0.45um_stream_water,,,0.01,µg/l,,,40.918,20.182,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,5,W_all_data_2v8_17Sep07.csv#row=5,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9d2a139e1530ef36ddf2316f18261fa15f7a611edad4b7b7d075dfa950ce4186,src-204f64ff3ecd52f1f28b307584022b76d851a4aaed7298aaf66357823221cb31,N28E11W5,As,As,0.67,µg/l,water,,dissolved_<0.45um_stream_water,,,0.01,µg/l,,,40.779,19.722,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,6,W_all_data_2v8_17Sep07.csv#row=6,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-84daaef18f1fdcccc71580f423784a6e682c09ed507de4778468173630f74281,src-204f64ff3ecd52f1f28b307584022b76d851a4aaed7298aaf66357823221cb31,N28E11W5,Cu,Cu,1,µg/l,water,,dissolved_<0.45um_stream_water,,,0.005,µg/l,,,40.779,19.722,EPSG:4326,,,,ICP-QMS for published trace metals,,filtered below 0.45 micrometres and acidified to 1% v/v HNO3,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-stream-water,FOREGS Geochemical Atlas of Europe: stream water,,FOREGS-Atlas-2005-publisher-files-2026-03-03,W_all_data_2v8_17Sep07.csv,6,W_all_data_2v8_17Sep07.csv#row=6,,,,<0.45 micrometre filtered fraction,,,,,stream water,water_stream,dataset_constant,,,,,,,,,,,,,stream,dissolved,filtered_<0.45um,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-QMS for published trace metals,,,,,W_all_data_2v8_17Sep07.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
