record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-7371f59bc309e9682b6f21e5677f7713cf0aa2578d78ef532afe2fcabc1999b1,src-5134bc5b873905727058e1d842c46fcf3fe74193af9f899f70e6ca62364425ce,N19W10T1,As,As,2.5,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,5,mg/kg,,,27.96,-15.57,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,4,T_AR_data_2v4_8Feb06.csv#row=4,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-5bab25269aee78202b94385aea276fdf87a2cb3039c175f7b8f7d9edb4966345,src-5134bc5b873905727058e1d842c46fcf3fe74193af9f899f70e6ca62364425ce,N19W10T1,Cu,Cu,69,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,1,mg/kg,,,27.96,-15.57,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,4,T_AR_data_2v4_8Feb06.csv#row=4,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-043baf3372a7b0ef70c7681506f0deb68b44506a8be09f942dffd215388d2356,src-5134bc5b873905727058e1d842c46fcf3fe74193af9f899f70e6ca62364425ce,N19W10T1,Ni,Ni,380,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,2,mg/kg,,,27.96,-15.57,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,4,T_AR_data_2v4_8Feb06.csv#row=4,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-ffec7e7718492dc73afd7d30ce06183f6bed8ebb61f93b94ad441b7740303524,src-5134bc5b873905727058e1d842c46fcf3fe74193af9f899f70e6ca62364425ce,N19W10T1,Zn,Zn,220,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,1,mg/kg,,,27.96,-15.57,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,4,T_AR_data_2v4_8Feb06.csv#row=4,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=4,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-aa21da919d75710b7582f7e6a643acb78f00c4c1bf03aa3ea1b4c0a448b63da1,src-4a3cf2a299c0c36cc882f1556a76dc95b3004db2c21b552ccdaeff355dffc574,N24E14T1,As,As,5,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,5,mg/kg,,,35.5,23.83,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,5,T_AR_data_2v4_8Feb06.csv#row=5,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-94628028ead48c9e6565e50b28a2a89e8e9584915a8f993a6ba4218eb2465f7d,src-4a3cf2a299c0c36cc882f1556a76dc95b3004db2c21b552ccdaeff355dffc574,N24E14T1,Cu,Cu,77,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,1,mg/kg,,,35.5,23.83,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,5,T_AR_data_2v4_8Feb06.csv#row=5,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-aeb061fda8713217aba299236102fffac8fc43a4b289a00fbe07aa41a4775d75,src-4a3cf2a299c0c36cc882f1556a76dc95b3004db2c21b552ccdaeff355dffc574,N24E14T1,Ni,Ni,55,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,2,mg/kg,,,35.5,23.83,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,5,T_AR_data_2v4_8Feb06.csv#row=5,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c457bca3e324224c3cca6b583642c7579c6bb8cc10cf928895fc64d333eb7ec3,src-4a3cf2a299c0c36cc882f1556a76dc95b3004db2c21b552ccdaeff355dffc574,N24E14T1,Zn,Zn,46,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,1,mg/kg,,,35.5,23.83,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,5,T_AR_data_2v4_8Feb06.csv#row=5,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=5,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-ef1034435bbf3006bc5f3fce867edaec927ea82be8831d58228782b156bda723,src-1e61daa4457aa36469a948a0287d7466104d9dcaf94421b8c3c95367879f85d9,N24E15T2,As,As,16,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,5,mg/kg,,,35.4,24.67,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,6,T_AR_data_2v4_8Feb06.csv#row=6,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-f144c38b301fe2256b7940fe5fc1972a4c8e5fa55635a6c6bc56b0a57124c930,src-1e61daa4457aa36469a948a0287d7466104d9dcaf94421b8c3c95367879f85d9,N24E15T2,Cu,Cu,34,mg/kg,soil,,aqua_regia_leachable_<2mm_topsoil,,,1,mg/kg,,,35.4,24.67,EPSG:4326,,,,ICP-AES,,hot aqua regia leach at 95 C,,LicenseRef-FOREGS-Research-Attribution-2005,official_curated,foregs-topsoil,FOREGS Geochemical Atlas of Europe: topsoil,,FOREGS-Atlas-2005-publisher-files-2026-03-03,T_AR_data_2v4_8Feb06.csv,6,T_AR_data_2v4_8Feb06.csv#row=6,,0,0.25,<2 mm,,,,,"residual topsoil, 0-25 cm without organic layer",soil_topsoil,dataset_constant,,,,,,,,,,topsoil,,,,,,,,,,,,,,,,,,,,not_reported,file,,source_file_method_constant,,ICP-AES,,,,,T_AR_data_2v4_8Feb06.csv#row=6,,,,,,"[""Salminen, R. et al. (2005). Geochemical Atlas of Europe, Part 1. Geological Survey of Finland, Espoo.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://weppi.gtk.fi/publ/foregsatlas/disclaimer.php,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
