record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-9dbd0ec132ad1cb797e0b88c28c11464a71b31c2132041d033336a1536c7e860,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,As,As,9.77978099,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.1,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-30e02c2851fb6fa469e0ecc3d56e294159ed3b1a3325fb8bb5bd657d37e0f0c5,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Cr,Cr,59.32553705,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.5,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-7f693494f00a38947ab8866f0fc3fdeb95e5751d8e2d88bcbc26ee9051917f64,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Cu,Cu,25.21869512,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.01,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-1cef9f6080b35fc896a3ef3103c0f20304b0bda8bf7ae76bebc14a855c6c1c36,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Hg,Hg,0.04487129,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.005,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8d0e24b77ff8130b9d2e09bc98f958ec9c8fd64301ff8fe4f344f1aaaa0c175b,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Ni,Ni,61.16981515,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.1,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-42b52230526a67fd1ecd97ff3782e57fa0162431425c28a2430509a59cb0671f,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Pb,Pb,16.46757505,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.01,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-933a601d06b966b2c6e96cb22467bed57f25d96a1fd37eb79ff8a50f88679126,src-bd14bdd3fad923530903a7bcd931cdcd7ed7ecde09317245a127f05d792bfb4d,GEMAS:Ap:3022,Zn,Zn,49.56256983,mg/kg,soil,,modified_aqua_regia_extractable_dry_soil_<2mm,,,0.1,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,15 g soil; 90 mL aqua regia; 95 C for one hour; diluted to 300 mL with 5% HCl,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<2 mm,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,Spectro Ciros Vision ICP-AES and Perkin Elmer Elan 6000/9000 ICP-MS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-a70645cd21ce61b10e892b818880d62faf967525933fded1897fba355e9b90f7,src-a115409cf82d39cbeeeb1c9f47d9b02467f5e47ccb2b32b2bd6306074f5a10ff,GEMAS:Ap:3022,As,As,12.00000000,mg/kg,soil,,xrf_total_fused_bead_dry_soil_milled_<63um,,,3,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,fused bead preparation after milling,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<63 um,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-9dfd688a16bf9c84e9173a4d6a0bc8edb65bf92cead47c79d4110d33000b35bb,src-a115409cf82d39cbeeeb1c9f47d9b02467f5e47ccb2b32b2bd6306074f5a10ff,GEMAS:Ap:3022,Cr,Cr,156.00000000,mg/kg,soil,,xrf_total_fused_bead_dry_soil_milled_<63um,,,4,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,fused bead preparation after milling,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<63 um,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-83ded3a14511b92aa492116dd9836b7cb07a9794443c8b4a98c9072c7c47333a,src-a115409cf82d39cbeeeb1c9f47d9b02467f5e47ccb2b32b2bd6306074f5a10ff,GEMAS:Ap:3022,Cu,Cu,20.00000000,mg/kg,soil,,xrf_total_fused_bead_dry_soil_milled_<63um,,,5,mg/kg,,,38.56670000,24.12220000,EPSG:4326,,,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,fused bead preparation after milling,,CC-BY-4.0,official_curated,gemas-europe,Geochemical Mapping of Agricultural and Grazing Land Soil (GEMAS),,GSI-ArcGIS-Enterprise-republication-2024,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,https://gsi.geodata.gov.ie/downloads/Geochemistry/Data/IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip,5d12bc896f2899ed405d1f41bec7a6648febb5d5ffc5de9ab9da8db14786f9b4,,0,0.20,<63 um,,,,,Ap,soil_agricultural_ploughed,exact,,HEL,HEL,,,,,Ap,Ap,,,,,,,,,,,,,,,not_reported,dataset_analysis_group,registered_AR_or_XRF_method_contract,,wavelength-dispersive XRF; PANalytical PW2400 and AXIOS,,,,,IE_GSI_GEMAS_Geochemistry_Agricultural_Grazing_Land_Soil_EU_WGS84.zip!IE_GSI_GEMAS_Agricultural_Soil_Ap_Samples_AR_XRF_EU_WGS84.dbf#record=1,,,,,,"[""Geological Survey Ireland (2024), GSI GEMAS European Geochemical Data; EuroGeoSurveys GEMAS project.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
