record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-a52ee4b335cece84fc97c82054b50a3d0964a7232635c9c9d38e127bbe44f951,src-b273d4795c356d2fff303419b2454e141c9f9270ce6de22f570319535fcddc50,CAN00021|2003-11-03T11:51|0.3,As,As,0.01,µg/l,water,,freshwater_total_operational_fraction_ug_per_l,<,,0.01,µg/l,,,51.21,-117.7,EPSG:4326,,,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,GEMStat total operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,26008,Arsenic.csv#row=26008,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2003-11-03T11:51,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,total,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,,,,GEMStat_methods_metadata.csv#row=272,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-59ae0d96455f41f2fd9407a88e8ad463a86fced2fab35247409d10c1ee1d6260,src-1b91a49c993b0129d6ca7cd3b49881a35ff4516be9575cf53a41349824b7616b,CAN00021|2006-12-11T12:38|0.3,As,As,0.01,µg/l,water,,freshwater_total_operational_fraction_ug_per_l,<,,0.01,µg/l,,,51.21,-117.7,EPSG:4326,,,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,GEMStat total operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,26052,Arsenic.csv#row=26052,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2006-12-11T12:38,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,total,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,,,,GEMStat_methods_metadata.csv#row=272,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9d002ca03d7d97c0ecda2d165b0c9114fe3258c3683e95449916771b736cd2e8,src-abdb712566cce97a87a4bfd5963c2474c5903ffe8e646abefe5da551880f884a,CAN00022|2003-11-03T10:40|0.3,As,As,0.01,µg/l,water,,freshwater_total_operational_fraction_ug_per_l,<,,0.01,µg/l,,,51.42,-116.44,EPSG:4326,,,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,GEMStat total operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,26290,Arsenic.csv#row=26290,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2003-11-03T10:40,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,total,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer,,,,,GEMStat_methods_metadata.csv#row=272,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-5af9e652a8510b6a17227b9783e84c747e1fe17954b0ce0678c49ed2f42beb3f,src-bd461f7ffb3b23e4c4e81bcc8769ef9694762c0cae06dc727eea2b830a192a5c,CAN00026|2000-01-04T00:00|0.3,As,As,0.0001,mg/l,water,,freshwater_dissolved_operational_fraction_mg_per_l,<,,0.0001,mg/l,,,49.18,-115.17,EPSG:4326,,,,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,,GEMStat dissolved operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,28756,Arsenic.csv#row=28756,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2000-01-04T00:00,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,dissolved,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,,,,,GEMStat_methods_metadata.csv#row=251,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-018bf2e5e23f2f185d1f0232bd0d59bb72351f1b4dc064167a491e46bcdddcb8,src-89bfc9f810c07cfcce4af2445d145bc628ea8270c8d40c873ad624d602f57d24,CAN00026|2000-01-04T00:00|0.3,As,As,0.0001,mg/l,water,,freshwater_dissolved_operational_fraction_mg_per_l,<,,0.0001,mg/l,,,49.18,-115.17,EPSG:4326,,,,"Determination of dissolved arsenic, antimony and selenium by inductively coupled argon plasma",,GEMStat dissolved operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,28757,Arsenic.csv#row=28757,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2000-01-04T00:00,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,dissolved,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,"Determination of dissolved arsenic, antimony and selenium by inductively coupled argon plasma",,,,,GEMStat_methods_metadata.csv#row=255,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-34e4b07bb7edb6a752f2e296b7f820a5c5807eb3ca27d7c0fa296343ec19bdfc,src-50352a25733f9b03dd4d102c4dee157b7d3cbac66aa48556340568ffbbd54d89,CAN00026|2000-01-18T08:05|0.3,As,As,0.0001,mg/l,water,,freshwater_dissolved_operational_fraction_mg_per_l,<,,0.0001,mg/l,,,49.18,-115.17,EPSG:4326,,,,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,,GEMStat dissolved operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,28760,Arsenic.csv#row=28760,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2000-01-18T08:05,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,dissolved,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Inductively Coupled Plasma (ICP) Method with AsH3 Generation and S2O8 Digestion,,,,,GEMStat_methods_metadata.csv#row=251,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-33b454764827453eca26323919da46e5dca1e264621aa14067d2d9a92f6fc75d,src-bb2e89cf763a8a917d23cc2efd673d51876aa1afc1fc389a4298175d82a319f5,CAN00055|2003-03-24T13:35|0.3,As,As,0.5,µg/l,water,,freshwater_suspended_operational_fraction_ug_per_l,<,,0.5,µg/l,,,53.534,-57.495,EPSG:4326,,,,Extractable elements in acid preserved samples are analyzed by ICP-MS.,,GEMStat suspended operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,32040,Arsenic.csv#row=32040,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2003-03-24T13:35,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,suspended,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Extractable elements in acid preserved samples are analyzed by ICP-MS.,,,,,GEMStat_methods_metadata.csv#row=263,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-6ad80ce7863f1e2011deae1cf5966497d6742901191f4e5170bc9b153b021d9d,src-e72d40176cdc00abaa8286b99b15ab7daa7df58dbaaf119f9ed74286c5de393a,CAN00055|2003-06-09T15:00|0.3,As,As,0.3,µg/l,water,,freshwater_suspended_operational_fraction_ug_per_l,<,,0.3,µg/l,,,53.534,-57.495,EPSG:4326,,,,Extractable elements in acid preserved samples are analyzed by ICP-MS.,,GEMStat suspended operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Arsenic.csv,32041,Arsenic.csv#row=32041,11605175ed9912b3a508fbdfb32684d9684469633858e0e72fc7a08f1bf2e231,2003-06-09T15:00,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,suspended,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Extractable elements in acid preserved samples are analyzed by ICP-MS.,,,,,GEMStat_methods_metadata.csv#row=263,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-0a408023fb93e8f598f4a6da38fc745e39ef071faccf1564fa069bea7cafadba,src-6e8d5342ef0f7f70c3c45310ca254c5642e92402f46dfccc15a6fb2b9c666433,CAN00018|2002-06-13T13:50|0.3,Cr,Cr,0.0002,mg/l,water,,freshwater_total_operational_fraction_mg_per_l,<,,0.0002,mg/l,,,60.12,-137.97,EPSG:4326,,,,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),,GEMStat total operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Chromium.csv,27735,Chromium.csv#row=27735,164294931268c7427cb7c768f23e20484db9c4130044d99c766483fb881cc62c,2002-06-13T13:50,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,total,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),,,,,GEMStat_methods_metadata.csv#row=767,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-51792714d48fb7cc80f4949d8cf0222fdeba49db8447fd1136a1941e69ffbde5,src-da510eb8b0bc08349b854883ebcefa45086c18ecf8d2df47a58fb131f3e6a9ec,CAN00019|2000-01-10T16:00|0.3,Cr,Cr,0.0002,mg/l,water,,freshwater_total_operational_fraction_mg_per_l,<,,0.0002,mg/l,,,60.05,-128.9,EPSG:4326,,,,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),,GEMStat total operational fraction,,CC-BY-4.0,official_curated,gemstat-open-archive,UNEP GEMS/Water Global Freshwater Quality Archive: v3 seven-element subset,10.5281/zenodo.18459694,v3,Chromium.csv,27836,Chromium.csv#row=27836,164294931268c7427cb7c768f23e20484db9c4130044d99c766483fb881cc62c,2000-01-10T16:00,0.3,0.3,,,,,,River station,water_river,exact,,,,,,,,,,,river,total,,,,,,,,,,,,not_reported,observation,observation_method_code_join,,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),,,,,GEMStat_methods_metadata.csv#row=767,,,,,,"[""Heinle, M., Lisniak, D., and Saile, P. (2026). UNEP GEMS/Water Global Freshwater Quality Archive, v3. Zenodo. https://doi.org/10.5281/zenodo.18459694""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
