record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction
rec-5cc05e1b8ff7c70ff33e2747d971849f635d70a24d16d29efbfc6f9c19d3d090,src-fbda42ab497287085e4c2a9ce348c10c4c5f5e0b1dc6e45ce28b3d237bed4e06,s_85147 [6004],Ni,Ni,70,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / TOKKO-KHANI GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,2,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=2,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-7227c1d2f6b3cc3f4b3d0798142b9aa99e56cd99367c58d3917b7104354fd2c9,src-e257f28366bc8e972615d0d3ee0e710eace38e4cf2a18d926c36b806a039250b,s_86221/9 [6004],Ni,Ni,25,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / TOKKO-KHANI GREENSTONE BELT,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,3,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=3,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-61b28a43b30ac28b862b15ab8f0eb0c50fc5c14b91f83b8a8c162469cce2b5d4,src-03c495f7a5c1a539309653b28c87aa4bc428c558ab37baf1e04905cc3db8b730,s_86231/1 [6004],Ni,Ni,16,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / NORTHERN THOLEIITIC METABASALTS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,4,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=4,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-89bc40f1faa239ad70b5c4e1bb8ac8c53721bab2ac94c0ae2ea923cc7ebcaf96,src-5d6e9489ebf6d85f4a51b0916a61a01a9560320248515dc891e7cbed16a49635,s_8550 [7221],Ni,Ni,789,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,5,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=5,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-d7a20373e6a82a8a03c52918946bbf7cd087b0a198de9e7e0a0c441243d93eb0,src-db9919a11bf812be7887869a73cfc793b311ee83c825779c7132e5d16429fbaf,s_8551 [7221],Ni,Ni,1095,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,6,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=6,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-2e44d08df16d6bae715fd42e7097a2abd435909a5684034620e711982858e6ec,src-e77763a3d76f573e07501458ef68f43e68396a2a230ab26e7ec0758dfab2af15,s_8569 [7221],Ni,Ni,1210,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN KOMATIITES,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,7,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=7,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-e411118bc88187621cc350371b391b93cd96bf165f1259b44cbb5495de6ade17,src-1ec8f3b3989f08ff6a1a5f334bf7906b61829102e9863aee77a4a4d4c79ef509,s_8707/2 [7221] / s_07/2 [9427],Ni,Ni,518,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,8,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=8,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-6f59241802c526d622f14e2327122096515c236f151a2f8d17e3a2d6ef9db531,src-df1ec22949e6ae38acbb318b6fde2df3b69aefe54c38e3f01083f7704319fd16,s_8707/6 [7221] / s_07/6 [9427],Ni,Ni,370,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,9,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=9,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-fb2e5753b03f78fd60460934e8c24f574d171e6142ffd83f3fe41f44b55e0693,src-25dc92c1fbd1cdd286149e4ff61c97ca9e0e670bb9b2e28d9a4cf4cee8d23346,s_8707/9 [7221] / s_07/9 [9427],Ni,Ni,397,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,10,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=10,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-3de147d5d88d2794e2e30c4d9786cf3422b19269ea0fbf3aacd4a7109abf0726,src-6e7292555580293603f2700f901e401763d081d06abaaaac4ed3e21178fbe936,s_8707/16 [7221] / s_07/16 [9427],Ni,Ni,356,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / EASTERN KOMATIITIC METABASALTS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,11,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=11,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
rec-1394c58d44deb0f384add56d74c7a3447281b19bb391a4ae7e625105c9457151,src-b741eab2bdf12bef9dc9db045da1074f729a46e4132526f1d65978ff86e64cf4,s_8715/1 [7221] / s_15/1 [9427],Ni,Ni,131,ppm,rock,whole rock,GEOROC_precompiled_selected_value,,,,,57.03,120.72,,,,,,ALDAN SHIELD - ARCHEAN / OLEKMA GRANITE-GREENSTONE TERRANE / OLONDO GREENSTONE BELT / WESTERN THOLEIITIC METABASALTS AND GABBROIDS,,,,,CC-BY-SA-4.0,official_curated,georoc-archaean,GEOROC Compilation: Archaean Cratons,10.25625/1KRR1P,12.0,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv,12,2026-06-1KRR1P_ALDAN_SHIELD_ARCHEAN.csv#row=12,6959b5f1d1ce74ba6608d11847cf12e6427535040bc10b5854ec5ef336fcf6aa,,,,
