record_id,source_record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction
rec-42ced7d671e1b008dd14ef34a1c4d323e8ab53ef2dc6765ff8d6d64b767013a6,src-e6a862acb7601a868b4ae886e2bd918241cd4e83fb661184ddc075a76a9e5764,GA01|13|14.9m,Ni,2.144948,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=53,2014-05-24T23:03:50,14.9,14.9,
rec-f3546151aba79c60b52c485d96b047a3a4da13f191dc6f6eb187dc4b42cd172a,src-e6a862acb7601a868b4ae886e2bd918241cd4e83fb661184ddc075a76a9e5764,GA01|13|14.9m,Zn,0.074824,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=53,2014-05-24T23:03:50,14.9,14.9,
rec-45b11e981edba1076a3dd24d34e7080b136e84ca700e48a4a6450db0a3c145b9,src-f9d1c430914950f7feb6eea8ae80bef9329c45e4338e6a803a4471581bd630cb,GA01|13|59.5m,Ni,2.450863,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=96,2014-05-24T23:03:50,59.5,59.5,
rec-f6238625cc9e957ee0adc8ee870fbc83f687647341325b52624d5ddf561d8854,src-f9d1c430914950f7feb6eea8ae80bef9329c45e4338e6a803a4471581bd630cb,GA01|13|59.5m,Zn,0.35851,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=96,2014-05-24T23:03:50,59.5,59.5,
rec-c48ea0c35398ec6e58a223c960360cf7fc47146fdf67877c15519e93e55e8c50,src-0308efc5a1c726887dd5cf7b7cda139312d39cd7e76e3824ee5c36f59952969f,GA01|13|99.1m,Ni,2.629792,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=125,2014-05-24T23:03:50,99.1,99.1,
rec-ef4d3760a5a1e8e7e257cbd5b5980d13e12de371b61f8ef66a2a72b69d521afc,src-0308efc5a1c726887dd5cf7b7cda139312d39cd7e76e3824ee5c36f59952969f,GA01|13|99.1m,Zn,0.125532,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=125,2014-05-24T23:03:50,99.1,99.1,
rec-5c73afb2ceb641af63807219c4ecdd2818d25c2156fa8ce2e8c3f1c21bf99532,src-19a0fea2262f316590b2be3dc7fcf4c43a5db56d9466a0954ea43af4e0c8c129,GA01|13|148.9m,Ni,2.739713,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=144,2014-05-24T23:03:50,148.9,148.9,
rec-5aadc27c996ecf384efee9aa3b1ca48f723308cbc5a0066fb23b2af2c189338e,src-19a0fea2262f316590b2be3dc7fcf4c43a5db56d9466a0954ea43af4e0c8c129,GA01|13|148.9m,Zn,0.195598,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=144,2014-05-24T23:03:50,148.9,148.9,
rec-adfd4e36f13ba9abbb2fe1cdfe480b15cf8b61c133bb49324b9997c140f579a6,src-eafd88c193834fbd5eefa93f8f9e125c0bcc1ed4f949bf258a63465fe6c0707f,GA01|13|198.5m,Ni,2.719651,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=154,2014-05-24T23:03:50,198.5,198.5,
rec-195e7eefb01a80f67515f68a0a5a018dcc0dc51bb458c0c1a22c1d6d90efc77f,src-eafd88c193834fbd5eefa93f8f9e125c0bcc1ed4f949bf258a63465fe6c0707f,GA01|13|198.5m,Zn,0.150564,nmol/kg,water,dissolved_seawater_molar_per_mass,reported,,,41.3829,-13.887604,EPSG:4326,,global_ocean_cruise_track,,dissolved_fraction; contributor-specific protocol,,CC-BY-4.0,official_curated,geotraces-idp2025,IDP2025_seawater_GEOTRACES_IDP2025_Seawater_9ZNEKNrP.txt#row=154,2014-05-24T23:03:50,198.5,198.5,
