record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-21ed06b4109e5e259944a3dadd1e8be408eb2d98d7c1347606b29be73c774b2f,src-3b5d4d792ddec1937781c7ecb204bfc8634c48ea7d618183fb4b7800c0031178,1,As,As,14.0,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1292,127.7603,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=2;noudo.csv#row=2,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県島尻郡具志頭村長毛 / 雄樋川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-e28eb4bd302489e1caae72d45c0d1194a7fd4d19d9e416e5f09bb830c0a8d1c4,src-3b5d4d792ddec1937781c7ecb204bfc8634c48ea7d618183fb4b7800c0031178,1,Cu,Cu,38.419,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1292,127.7603,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=2;noudo.csv#row=2,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県島尻郡具志頭村長毛 / 雄樋川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-b5b93e3f23a43723d681de4375907a13bf88ed4d563ba6962eeefba6b48e070f,src-3b5d4d792ddec1937781c7ecb204bfc8634c48ea7d618183fb4b7800c0031178,1,Ni,Ni,22.991,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1292,127.7603,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=2;noudo.csv#row=2,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県島尻郡具志頭村長毛 / 雄樋川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-00fa4475cd64304171a6e3183dad07955f57805029a4634598341d90b8ae7b0a,src-3b5d4d792ddec1937781c7ecb204bfc8634c48ea7d618183fb4b7800c0031178,1,Zn,Zn,179.048,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1292,127.7603,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=2;noudo.csv#row=2,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県島尻郡具志頭村長毛 / 雄樋川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-71d0932941ad28f5ede29973302aee8288ec0d5803285d3f028cef2edc07855c,src-34b37892a0259d057de0c412e2806ec9e3df422bf71ae3196c3499f6b146dde5,2,As,As,11.3,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1366,127.6876,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=3;noudo.csv#row=3,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県糸満市賀数の南方 / 報得川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-6af7813b6f35930d5b596f9a7753fec3fbe0073c1f94ceb42db8f24ecc75bfb9,src-34b37892a0259d057de0c412e2806ec9e3df422bf71ae3196c3499f6b146dde5,2,Cu,Cu,46.571,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1366,127.6876,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=3;noudo.csv#row=3,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県糸満市賀数の南方 / 報得川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-b27b76c1313569823db14f1ffce183da99525fbc4b495d5dac716bd30ad4f214,src-34b37892a0259d057de0c412e2806ec9e3df422bf71ae3196c3499f6b146dde5,2,Ni,Ni,43.744,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1366,127.6876,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=3;noudo.csv#row=3,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県糸満市賀数の南方 / 報得川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-5e6f85c1e626e9b294afce8be8be8126fa5e879c6b7eb1f37f98baf4640a725d,src-34b37892a0259d057de0c412e2806ec9e3df422bf71ae3196c3499f6b146dde5,2,Zn,Zn,188.216,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.1366,127.6876,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=3;noudo.csv#row=3,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県糸満市賀数の南方 / 報得川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9f29f75db722207a46e14f89c1232ce7533a1cbb42a84234e1a3427742d0d522,src-4104c2a91dda668740bc3d9385a6057718b23621edff6944abe6be82512ffabb,3,As,As,11.3,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.2014,127.6799,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=4;noudo.csv#row=4,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県那覇市壺川（那覇大橋の下） / 国場川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-d04f593701d8f99b5ac11936f52a05ad80e9a39d8833eb36c4f93f1e2e1642da,src-4104c2a91dda668740bc3d9385a6057718b23621edff6944abe6be82512ffabb,3,Cu,Cu,48.938,ppm,sediment,,river_sediment_<180um_national_geochemical_map,,,,,,,26.2014,127.6799,EPSG:4326,,20,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-geochemical-map,Geochemical Map of Japan: national river-sediment sample and concentration tables,,sample-2024-02-20_concentration-2007-01-10,samplejoho.csv,,samplejoho.csv#row=4;noudo.csv#row=4,0dbd2beae356adc45b762d50a9aa06ad556fd3ea004d427e369837bedda05671,,,,<180 µm fine stream sediment,,,,,river sediment,sediment_stream,dataset_constant,,沖縄県那覇市壺川（那覇大橋の下） / 国場川 / 0那覇,,0那覇,,,,,,stream,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""Imai, N. et al. (2004). Geochemical Map of Japan. Geological Survey of Japan, AIST, 209 p.; official online sample and concentration tables.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
