record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-ee5dd1731de1c21be53547474a9308ce4de432438355a6eba6de33819e0c433d,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,As,As,24.3,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-6284af9afbd56e0deabcecb54c6878b9c376b0403570582722c67b2b730d464b,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Cr,Cr,24.469,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-bb59296fba5c8faeb376936252ff92d636bd2ce84b70944c9cc39d70daeb3d8b,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Cu,Cu,9.293,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-2267ccc05903fb8438fbc5f46cc8834cb3ad369b356825a79058cd9ea9b6a06e,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Hg,Hg,10,ppb,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-7cf01878c1ad3320b093bab9d21881950f13006ddead868739e01b0c7f2c9c10,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Ni,Ni,14.194,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-4ffffdcbf1ed1a4608eee55cadffea20a595b728b018b1027e509ee288c425b1,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Pb,Pb,16.707,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-ba42a8c1a32d032a7e6608b11a8733880b670f439026e306581d323d8ed3d850,src-758550ec220aa1ef22f64e0c593424c88f8ed1b2a3925631bae4a2c46aa251ef,880001,Zn,Zn,64.418,ppm,sediment,,published_marine_sediment_concentration,,,,,36.6977,136.5527,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,2,ocean-noudo.csv#row=2,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-bbeef03af9e71373ed8b6fcd47e3a65cd0b2e1bb35f8be55249ad4d8b36f1c14,src-bfd15096b3a86ee6474ceb223d53f49905248b5838ac070b6da9b82801bc3653,880002,As,As,13.2,ppm,sediment,,published_marine_sediment_concentration,,,,,36.7855,136.462,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,3,ocean-noudo.csv#row=3,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-726bfdb2aee3b7448f5da08a31f7ab61f1b649ff1ea968cf8ec7828e0d368ba1,src-bfd15096b3a86ee6474ceb223d53f49905248b5838ac070b6da9b82801bc3653,880002,Cr,Cr,23.32,ppm,sediment,,published_marine_sediment_concentration,,,,,36.7855,136.462,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,3,ocean-noudo.csv#row=3,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-94e554c951e1d13835b8c0f0203706d35b5d42496bff8505374913a70af76c14,src-bfd15096b3a86ee6474ceb223d53f49905248b5838ac070b6da9b82801bc3653,880002,Cu,Cu,10.158,ppm,sediment,,published_marine_sediment_concentration,,,,,36.7855,136.462,,,,,,,,,,,LicenseRef-GSJ-Government-Standard-Terms-2.0,government,japan-gsj-marine-sediment,Geochemical Map of Sea and Land of Japan: marine sediment concentrations,,content-snapshot-2026-08-06,ocean-noudo.csv,3,ocean-noudo.csv#row=3,https://gbank.gsj.jp/geochemmap/ocean/data/ganyuryo/ocean-noudo.csv,e81046209e381a727de856eec14ee4a67ace37751c66d1d74467c3d8214bad49,,,,,,,,,marine sediment,sediment_marine,dataset_constant,,能登〜富山湾 / GH88,能登〜富山湾,,GH88,,,,,marine,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_concentration_csv,,doi:10.5571/synth.3.281,10.5571/synth.3.281,"[""Imai, N. et al. (2010). Geochemical Map of Sea and Land of Japan. Synthesiology 3, 281-291. https://doi.org/10.5571/synth.3.281; official marine concentration CSV.""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://www.gsj.jp/license/index.html,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
