record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-2b6d8e691bc8aa20fee029b8e741f9f02d0930da6f77b84645e6d188a444a9e8,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,As,As,3.519,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-b421915fe3af5ee3012e1333ef129b8542e4b2bff811707c89b31cef058927af,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,Cr,Cr,0.366,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-f005fa0f742fad5118a3d1d69356de7fed48bfdaa9509a45334216b946f88e4f,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,Cu,Cu,1.657,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-2a8f000258693ad730c54763c10d562a9bde5961672e0304fd23d19f7ac7850d,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,Ni,Ni,1.777,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-692e67a412d90a92d6a1c96bcf1cc0c2138c8e34b82d6795542ea638e7c67c60,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,Pb,Pb,0.385,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-45dd9e1f082104ccb9c896b01d6659b92f6d1ba509651ba3ba9974cb2d917403,src-a26d579bc99701e0b111c1dfc0c50e4aa18211be5dc833a175d1fdb150347862,W1,Zn,Zn,5.706,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.49,116.78,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,3,Table S1.xlsx#sheet1-row=3,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-4146ef707cec33215b30ac42ec12b7750ad38bbd3e37bbee0b343c7fd9955550,src-0fcf01b252c83449537d8573ee32ac654d12053bb293d6b180a142eadf9139ff,W2,As,As,0.114,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.39,116.74,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,4,Table S1.xlsx#sheet1-row=4,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-485dd89516980c86e5319f116b6b2ede7ab5936c79e9bb094f09e29f485f87eb,src-0fcf01b252c83449537d8573ee32ac654d12053bb293d6b180a142eadf9139ff,W2,Cr,Cr,0.102,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.39,116.74,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,4,Table S1.xlsx#sheet1-row=4,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-d1732dd60ac8ad23f0034f41ae33fa75618aa3eb11aa73900530536475b7cb8a,src-0fcf01b252c83449537d8573ee32ac654d12053bb293d6b180a142eadf9139ff,W2,Cu,Cu,0.962,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.39,116.74,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,4,Table S1.xlsx#sheet1-row=4,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
rec-45dbf6546d6a0ca20763009a9da60c1b54b7d381edd5440e852b77a53fc38d46,src-0fcf01b252c83449537d8573ee32ac654d12053bb293d6b180a142eadf9139ff,W2,Ni,Ni,1.1,ug/L,water,well water,groundwater_reported_mass_per_volume_fraction_unspecified,,,,,23.39,116.74,,,,,,,,,,,CC-BY-4.0,peer_reviewed_open_data,mendeley-guangdong-fujian-groundwater,"Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China",10.17632/84gkydb5y9.2,mendeley-84gkydb5y9-v2,Table S1.xlsx,4,Table S1.xlsx#sheet1-row=4,https://data.mendeley.com/public-files/datasets/84gkydb5y9/files/e292cfea-1d2a-48b1-85ef-319973d863e4/file_downloaded,0269b4ff66c268775dc8fe2aea4a7d67e61bdde73327f3a19077f2252be1598a,,,,,,,,,well water,water_groundwater,dataset_constant,,"Guangdong-Fujian coastal region, China / This study","Guangdong-Fujian coastal region, China",,,,,,,,groundwater,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported_in_dataset_or_repository_metadata,,,,"[""Dataset supporting Recharge sources, hydrochemical evolution, and health risks of groundwater and geothermal water in the Guangdong-Fujian coastal region, southeastern China. Mendeley Data, V2. https://doi.org/10.17632/84gkydb5y9.2""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-23T00:00:00Z
