record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-e96c33f96c59c01594f8554c55f8cfd47d1fc07634817c7e26ff7d09f70ddbc8,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,As,As,6.3,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=As [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-e2f455406d182799bf661d89823dba61255ed529f97b2b1e4715213893562620,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Cr,Cr,98,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Cr [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-2444cd2c52e49378fadb42991f0db0bdfd61a353e2f3fe9b9f6f4b85a5f2a165,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Cu,Cu,6.9,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Cu [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-6fc2ef89aaaca6e8683ec93213783f484bfb9f123f405a23c3f9d896a11f2fdf,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Hg,Hg,0.170,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Cold vapour atomic absorption spectrometry (CV-AAS),,GEMAS protocol preparation; publisher parameter metadata assigns CV-AAS Hg determination,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Cold vapour atomic absorption spectrometry (CV-AAS),,,,,PANGAEA.968463.tab#parameter=Hg [mg/kg] (Cold Vapour Atomic Absorption...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-eac8a8a940a21bb75c188ba01e31357d414353e9ff66fad572e72fac03d73353,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Ni,Ni,3.90,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Ni [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-6f9d9c73ae3177b830391bb6bb8677adf5b49e6e956e401d653f6dadd312fc72,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Pb,Pb,13.40,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Pb [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-544d21efbb4f465e935a8352a27a72e40ab2ecbd485b82d6958915d8b2e64801,src-6e547ee15916054c39adf18127a3d87bc75d2c972354d117d54b50b125e39a3b,Amazonas_0110|2016-03-01|TOP|1,Zn,Zn,24.0,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,119,PANGAEA.968463.tab#row=119,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0110 / Central / Brazil nut,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Zn [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-fd59159e5ff12b5715a2d2c18833821aed07d206c26b1d5a47602637619a585e,src-4ba6a2b016a6002d89c464d2ef187f1ee7b440f4948bab432a366a7320954152,Amazonas_0120|2016-03-01|TOP|1,As,As,4.7,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,120,PANGAEA.968463.tab#row=120,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0120 / Central / Forest,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=As [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-277f69426d74ce5805f69dbe46776b2d56c0ae02d9fda2a615a65f59549dfa44,src-4ba6a2b016a6002d89c464d2ef187f1ee7b440f4948bab432a366a7320954152,Amazonas_0120|2016-03-01|TOP|1,Cr,Cr,90,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,120,PANGAEA.968463.tab#row=120,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0120 / Central / Forest,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Cr [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-d7942731747d71167ec73760bc774f45f5c4a12951afb6ba42419afd1a2a682a,src-4ba6a2b016a6002d89c464d2ef187f1ee7b440f4948bab432a366a7320954152,Amazonas_0120|2016-03-01|TOP|1,Cu,Cu,5.6,mg/kg,soil,,gemas_protocol_multi_acid_digest_dry_mineral_soil,,,,,,,-3.015890,-58.833100,EPSG:4326,,,,Inductively coupled plasma mass spectrometry (ICP-MS),,GEMAS protocol multi-acid digestion,,CC-BY-4.0,peer_reviewed,pangaea-amazonas-soil,Amazonas soil chemistry - 64 elements,10.1594/PANGAEA.968463,2024-04-10,PANGAEA.968463.tab,120,PANGAEA.968463.tab#row=120,https://doi.pangaea.de/10.1594/PANGAEA.968463?format=textfile,a9de6cde912fa75851bbf90a6e8cd296ecf1dd4c79af8e33ffa1d5e19dcc3ca7,2016-03-01,0,0.20,mineral soil,,,,,TOP,soil_topsoil,exact,,Amazonas_0120 / Central / Forest,"Amazonas, Brazil",,,,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,Inductively coupled plasma mass spectrometry (ICP-MS),,,,,PANGAEA.968463.tab#parameter=Cu [mg/kg] (Inductively coupled plasma - ...),doi:10.1016/j.gexplo.2019.106433,,,doi:10.1016/j.gexplo.2019.106433,10.1016/j.gexplo.2019.106433,"[""Matschullat, Jörg (2024): Amazonas soil chemistry - 64 elements. PANGAEA. https://doi.org/10.1594/PANGAEA.968463""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
