record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,material_raw,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,soil_horizon_missing_reason,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_source_id,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,match_status,match_candidates,coordinate_status,geology_missing_reason,method_scope,method_candidates,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CAs%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,As,As,2.04,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=As [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CCr%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,Cr,Cr,76.49,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Cr [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CCu%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,Cu,Cu,71.02,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Cu [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CNi%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,Ni,Ni,255.17,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Ni [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CPb%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,Pb,Pb,7.95,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Pb [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17A%257CPANGAEA.950139.tab%2523row%253D102%7CZn%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17A%7CPANGAEA.950139.tab%23row%3D102,TOM41-1-17A,Zn,Zn,96.17,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9900,61.5300,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,102,PANGAEA.950139.tab#row=102,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17A-MC,Arabian Sea,,TOM41-17A-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Zn [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17E%257CPANGAEA.950139.tab%2523row%253D103%7CAs%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17E%7CPANGAEA.950139.tab%23row%3D103,TOM41-1-17E,As,As,2.02,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9945,61.5333,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,103,PANGAEA.950139.tab#row=103,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17E-MC,Arabian Sea,,TOM41-17E-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=As [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17E%257CPANGAEA.950139.tab%2523row%253D103%7CCr%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17E%7CPANGAEA.950139.tab%23row%3D103,TOM41-1-17E,Cr,Cr,73.09,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9945,61.5333,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,103,PANGAEA.950139.tab#row=103,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17E-MC,Arabian Sea,,TOM41-17E-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Cr [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17E%257CPANGAEA.950139.tab%2523row%253D103%7CCu%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17E%7CPANGAEA.950139.tab%23row%3D103,TOM41-1-17E,Cu,Cu,71.94,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9945,61.5333,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,103,PANGAEA.950139.tab#row=103,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17E-MC,Arabian Sea,,TOM41-17E-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Cu [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-observation-v2%7Cpangaea-arabian-sea-sediment%7Csrc-source-record-v2%257Cpangaea-arabian-sea-sediment%257CTOM41-1-17E%257CPANGAEA.950139.tab%2523row%253D103%7CNi%7C,src-source-record-v2%7Cpangaea-arabian-sea-sediment%7CTOM41-1-17E%7CPANGAEA.950139.tab%23row%3D103,TOM41-1-17E,Ni,Ni,247.89,mg/kg,sediment,,bulk_marine_sediment_geochemical_analysis,,,,,,,15.9945,61.5333,EPSG:4326,,,,Geochemical analysis on bulk sediment,,not reported in publisher table,,CC-BY-4.0,peer_reviewed,pangaea-arabian-sea-sediment,Geochemistry of modern sediments and the glacial Arabian Sea,10.1594/PANGAEA.950139,2022-11-02,PANGAEA.950139.tab,103,PANGAEA.950139.tab#row=103,,0.025,0.025,bulk sediment,,,,,marine core sediment,sediment_marine_core,dataset_constant,,,Arabian Sea / TOM41-17E-MC,Arabian Sea,,TOM41-17E-MC,,,,,,marine,,,,,,,,,,,,,,,,,,not_reported,parameter,,pangaea_parameter_method_metadata,,Geochemical analysis on bulk sediment,,,,,PANGAEA.950139.tab#parameter=Ni [mg/kg],,,,,,"[""Lu, W.; Wang, Y.; Oppo, D.W.; Nielsen, S.G.; Costa, K.M. (2022). Geochemistry of modern sediments and the glacial Arabian Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.950139""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
