record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-9b8e513860c268b2fc074a1ed4fba0e5770f7357314b0ea5ca945720ec182df3,src-11153be8f2e18ba03a06593b11042acaf5ffb5554dafb569c2d9ad871b29744f,698,As,As,4.000,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.1,mg/kg,,,66.3930,32.1114,EPSG:4326,,,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,113,PANGAEA.56227.tab#row=113,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.53,0.53,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 698,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,,,,PANGAEA.56227.tab#column=69,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-9c00163cbfe8191e77eb01b30b2a70579fd6a28f1e8514dbcab3a070c60e811e,src-11153be8f2e18ba03a06593b11042acaf5ffb5554dafb569c2d9ad871b29744f,698,Cu,Cu,35.5,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.5,mg/kg,,,66.3930,32.1114,EPSG:4326,,,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,113,PANGAEA.56227.tab#row=113,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.53,0.53,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 698,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,,,,PANGAEA.56227.tab#column=20,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-5f7c6fe01758d0f4167265f81134ebc5f131e8ab9681094db06bbcff3ec4e588,src-11153be8f2e18ba03a06593b11042acaf5ffb5554dafb569c2d9ad871b29744f,698,Pb,Pb,1.40,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.2,mg/kg,,,66.3930,32.1114,EPSG:4326,,,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,113,PANGAEA.56227.tab#row=113,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.53,0.53,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 698,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,,,,PANGAEA.56227.tab#column=95,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-008406c6554a48b810a628dcfc5c7ee8448bcae618f72a120a973d0bffea5b50,src-11153be8f2e18ba03a06593b11042acaf5ffb5554dafb569c2d9ad871b29744f,698,Zn,Zn,37.80,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.5,mg/kg,,,66.3930,32.1114,EPSG:4326,,,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,113,PANGAEA.56227.tab#row=113,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.53,0.53,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 698,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,,,,PANGAEA.56227.tab#column=55,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8a47ce113d41d7390bb93cd64f2fd9278c770813a403a11b5ee174d98f890967,src-63ff4164384f5e89127cebcc1a396dcafda3cc53d6067a0cc4ea5e6d57dc1765,553,As,As,0.400,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.1,mg/kg,,,66.5591,28.6716,EPSG:4326,,,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,114,PANGAEA.56227.tab#row=114,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.32,0.32,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 553,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,,,,PANGAEA.56227.tab#column=69,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-a53ede9cfb3e2de2d3e2d82068ec98c7706d4739818ea5e22bd1f1168941b268,src-63ff4164384f5e89127cebcc1a396dcafda3cc53d6067a0cc4ea5e6d57dc1765,553,Cu,Cu,7.4,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.5,mg/kg,,,66.5591,28.6716,EPSG:4326,,,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,114,PANGAEA.56227.tab#row=114,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.32,0.32,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 553,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,,,,PANGAEA.56227.tab#column=20,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-7153f850ed8299b22950f4add0e95981aec3d2bb4c7c1af37c0a4b3b67a98e61,src-63ff4164384f5e89127cebcc1a396dcafda3cc53d6067a0cc4ea5e6d57dc1765,553,Pb,Pb,1.10,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.2,mg/kg,,,66.5591,28.6716,EPSG:4326,,,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,114,PANGAEA.56227.tab#row=114,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.32,0.32,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 553,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,,,,PANGAEA.56227.tab#column=95,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-c7db57a5ab2c494a66e7a5d7b47a6c50d77cf7d40559f701cc314d04ace8994e,src-63ff4164384f5e89127cebcc1a396dcafda3cc53d6067a0cc4ea5e6d57dc1765,553,Zn,Zn,8.00,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.5,mg/kg,,,66.5591,28.6716,EPSG:4326,,,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,114,PANGAEA.56227.tab#row=114,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.32,0.32,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 553,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,,,,PANGAEA.56227.tab#column=55,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-d77532bb88084d568a6343f6e0bef4735ea07c95234c691f977a66fa4bfe259c,src-8523c5d2b2baa2a0936729cd1f178a7abdcb357a0b1cb284abada7a19feccf53,217,As,As,0.200,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.1,mg/kg,,,66.5616,27.5636,EPSG:4326,,,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,115,PANGAEA.56227.tab#row=115,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.38,0.38,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 217,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Element analysis, AAS, graphite furnace, Aqua regia (Reimann et al., 1998)",,,,,PANGAEA.56227.tab#column=69,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-1bc99ac3aca90af704efaac0214b370191f5831d795208b9be2a85be4d9a7514,src-8523c5d2b2baa2a0936729cd1f178a7abdcb357a0b1cb284abada7a19feccf53,217,Cu,Cu,4.5,mg/kg,soil,,aqua_regia_extractable_c_horizon_soil_analysis,,,0.5,mg/kg,,,66.5616,27.5636,EPSG:4326,,,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,aqua regia digestion; fraction < 2 mm,,CC-BY-3.0,official_curated,pangaea-barents-c-horizon-soil,Geochemistry of C-horizon,10.1594/PANGAEA.56227,1998-01-01,PANGAEA.56227.tab,115,PANGAEA.56227.tab#row=115,https://doi.pangaea.de/10.1594/PANGAEA.56227?format=textfile,e22093a40b9c68d25398f2322b68ae7af9b00e331483ae8a3927fc2c13be3d30,,0.38,0.38,fraction < 2 mm,,,,,C-horizon soil,soil_c_horizon,dataset_constant,,central Barents region / 217,central Barents region,,,,,,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-AES, Aqua regia (Reimann et al., 1998, NGU-GTK-CKE spec.publ. Trondheim)",,,,,PANGAEA.56227.tab#column=20,,,,,,"[""Reimann, Clemens (1998): Geochemistry of C-horizon. PANGAEA. https://doi.org/10.1594/PANGAEA.56227. In: Reimann, C; Äyräs, M; Chekushin, V et al. (1998): Geochemical analysis of soil in the central Barents Region. https://doi.org/10.1594/PANGAEA.686641""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
