record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-92c8c73593887983bcc07bb4ab558062fb75b9a0c8495d5f4324096d1a89c497,src-d21e61acf87f337d0d11f55e32b5ff4ddba43df0133b7f830743a04a38caa11c,B1|O|0.025|,Cu,Cu,30.00,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,49,PANGAEA.927867.tab#row=49,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Cu [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8b510ff9accf392cf57f3816dd3b27984d729a8fe4d722a6610bc150ea920856,src-d21e61acf87f337d0d11f55e32b5ff4ddba43df0133b7f830743a04a38caa11c,B1|O|0.025|,Pb,Pb,19.50,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,49,PANGAEA.927867.tab#row=49,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Pb [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-d6aec7535175d321059d51ad6e4285609500f81db8a20e109ee21adeed0ea1a3,src-d21e61acf87f337d0d11f55e32b5ff4ddba43df0133b7f830743a04a38caa11c,B1|O|0.025|,Zn,Zn,128.40,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,49,PANGAEA.927867.tab#row=49,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Zn [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-73d73b7b58823fd75bd36180d9eb125fc10b59c332f1a7ebf96421d0fb61eb55,src-e82ceda4a283fb5d501371bb68a92da02307b97e42d9305f4ec1efba073d0bca,B1|C|0.130|100,Cu,Cu,42.70,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,50,PANGAEA.927867.tab#row=50,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.05,0.21,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,C,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Cu [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-c2d85b0b5777b93294d6cefae94ee2648e0115a0928f5b60a783ecaee1a466eb,src-e82ceda4a283fb5d501371bb68a92da02307b97e42d9305f4ec1efba073d0bca,B1|C|0.130|100,Pb,Pb,20.20,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,50,PANGAEA.927867.tab#row=50,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.05,0.21,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,C,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Pb [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-b4fed71901f2ac2d9982141d3a94e96d850122ef27088831b6ba342b32e4d22a,src-e82ceda4a283fb5d501371bb68a92da02307b97e42d9305f4ec1efba073d0bca,B1|C|0.130|100,Zn,Zn,141.10,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,50,PANGAEA.927867.tab#row=50,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.05,0.21,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Pit in forest-tundra near the quarry, 365 m","Batagay megaslump, North Yakutia, Russia",,,,,C,C,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Zn [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-0fe43686678461bb8b04d8ddad56f581deda008752e098bf9440922c2ee4af35,src-77ff311f8235f05d7a99579f741311adfbfa0b6709c477800a8a918f8480a243,B2|O|0.025|,Cu,Cu,62.10,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,51,PANGAEA.927867.tab#row=51,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Foot of Kirgilyakh mountain, 325 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Cu [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-749ab34befd79c5025faee2c05122da40bd6bad278532e7de2e48c41e16b4253,src-77ff311f8235f05d7a99579f741311adfbfa0b6709c477800a8a918f8480a243,B2|O|0.025|,Pb,Pb,24.20,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,51,PANGAEA.927867.tab#row=51,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Foot of Kirgilyakh mountain, 325 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Pb [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-3e38bd2901e58479cead29674bd6eb5813e994f9e1f1e42fd8a1f5271f551267,src-77ff311f8235f05d7a99579f741311adfbfa0b6709c477800a8a918f8480a243,B2|O|0.025|,Zn,Zn,127.10,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,51,PANGAEA.927867.tab#row=51,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.00,0.05,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Foot of Kirgilyakh mountain, 325 m","Batagay megaslump, North Yakutia, Russia",,,,,O,O,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Zn [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-348aba7322861690f3f211da1dbad538cb7bf327de5fd3277017dac0fe076699,src-7908376f6255a2ed71b71e3903e68dc219d824c9a4c9943335abc4176945330e,B2|AyC|0.055|,Cu,Cu,21.80,mg/kg,soil,,certified_acid_digest_soil_and_soil_inclusions,,,,,,,67.580278,134.771944,EPSG:4326,,,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,certified NSAM 499-AES/MS (2015) laboratory method; exact digestion reagent not reported in table,,CC-BY-4.0,peer_reviewed,pangaea-batagay-soil,"Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia",10.1594/PANGAEA.927867,2021-03-10,PANGAEA.927867.tab,52,PANGAEA.927867.tab#row=52,https://doi.pangaea.de/10.1594/PANGAEA.927867?format=textfile,a5cb0f69973c7fb5e4fac29a7548fb7cbf10de1f291fe0070f4c9b8533f22d59,,0.05,0.06,,,,,,Soil,soil_profile,exact,,"Batagay megaslump, North Yakutia, Russia / Foot of Kirgilyakh mountain, 325 m","Batagay megaslump, North Yakutia, Russia",,,,,AyC,AyC,,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"Inductively Coupled Plasma Mass Spectrometry, Thermo Fisher Scientific, iCap Q ICP-MS",,,,,PANGAEA.927867.tab#parameter=Cu [mg/kg],doi:10.1016/j.apgeochem.2020.104669,,,doi:10.1016/j.apgeochem.2020.104669,10.1016/j.apgeochem.2020.104669,"[""Vasil'chuk, Yurij K et al. (2021): Trace elements content in soils and soil inclusions in Batagay ice wedges, North Yakutia, Russia. PANGAEA. https://doi.org/10.1594/PANGAEA.927867""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
