record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-da3756f4f59d2fc2796c998d44108587f29e82983667a6e025883050ed139d18,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,As,As,10,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,<,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-e43bac847a04e20b40ad16a8ded426c204b0fba1441310527a69060bc026f7f6,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,Cr,Cr,14.9,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-7586757ca9a9b471223bbe27d913fbf17599bbcc4262d18f3338cca2283ebec6,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,Cu,Cu,16.7,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-590c43e75dc440312a6c56bbd3dbf17e0dff75ebf5713149c88eb063966e7ea8,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,Ni,Ni,10,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,<,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-8dd0b565dc68c3276708551194196ff07cde3c5111722d98b141f5be782e5ff5,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,Pb,Pb,10.7,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-6317fcc724194478c8273b2b392c98707e812b5f6c87d33220638dff56eb7121,src-1356f7e5fbef2a7bb85265b0341098b7d42f1af4d303bc5c6f2ade068c350661,B-0525|TOP,Zn,Zn,10,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,<,,10,mg/kg,-12.111389000000001,-45.163499999999999,-12.111389,-45.1635,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,9,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=83,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,30.07.08,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0525 / cerrado / nat. vegetation,northeastern Brazil transects,,,sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-84c861a36dcfc7b9ea0d7967b9a777eab1c19f9684b8b00a921b963c0bf690b3,src-246d04450061fed312e8fa21407ff616f944cc7a7ae8b65cba282af78eea969a,B-0521|TOP,As,As,10,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,<,,10,mg/kg,-12.36225,-42.469583,-12.36225,-42.469583,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,12,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=79,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,39657,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0521 / caatinga / extensive cattle breeding,northeastern Brazil transects,,,alluvial sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-9cba5a1608c6e319a6d7e56222cadf78e1ceb751a6ee0367d368ed5cf655434e,src-246d04450061fed312e8fa21407ff616f944cc7a7ae8b65cba282af78eea969a,B-0521|TOP,Cr,Cr,10.4,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,,,10,mg/kg,-12.36225,-42.469583,-12.36225,-42.469583,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,12,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=79,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,39657,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0521 / caatinga / extensive cattle breeding,northeastern Brazil transects,,,alluvial sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-4026abf998033606bc0e2672196a06f1ed94bad458abe543404e1a26b8748146,src-246d04450061fed312e8fa21407ff616f944cc7a7ae8b65cba282af78eea969a,B-0521|TOP,Cu,Cu,17.5,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,,,10,mg/kg,-12.36225,-42.469583,-12.36225,-42.469583,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,12,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=79,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,39657,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0521 / caatinga / extensive cattle breeding,northeastern Brazil transects,,,alluvial sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-4a450092d75d052fd56303eefa9ee59a8acb9c740c62c3902a2272bd0672873b,src-246d04450061fed312e8fa21407ff616f944cc7a7ae8b65cba282af78eea969a,B-0521|TOP,Ni,Ni,10,mg/kg,soil,,ppp_method_specific_total_or_extractable_soil,<,,10,mg/kg,-12.36225,-42.469583,-12.36225,-42.469583,EPSG:4326,publisher WGS84 DMS/decimal agreement; identity,12,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,pressed powder pellet; no wet digestion,,CC-BY-4.0,peer_reviewed,pangaea-brasol-ne-brazil-soil,Soil chemical database of the BraSol-2010 project,10.1594/PANGAEA.969055,2024-07-01,Data_BraSol-2010_database.xlsx,,Data_BraSol-2010_database.xlsx#sheet=Tabelle1&row=79,https://download.pangaea.de/dataset/969055/files/Data_BraSol-2010_database.xlsx,0b1ade544b3b4faaade86eaed6378999e542d978ab0af9b7fa5ceb0dc6b3574d,39657,0,0.2,,,,,,TOP,soil_topsoil,exact,,northeastern Brazil transects / B-0521 / caatinga / extensive cattle breeding,northeastern Brazil transects,,,alluvial sediments,,TOP,topsoil_0_20cm,,,,,,,,,,,,,,,not_reported,dataset_parameter,publisher_metadata_and_selected_method_column,,WD-XRF (Bruker S8 Tiger) on pressed powder pellet,,,,,Metadata_BraSol-2010_database.txt#method=PPP,doi:10.1144/1467-7873/10-RA-046,,,doi:10.1144/1467-7873/10-RA-046,10.1144/1467-7873/10-RA-046,"[""Matschullat, Jörg (2024): Soil chemical database of the BraSol-2010 project. PANGAEA. https://doi.org/10.1594/PANGAEA.969055""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
