record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-1fed3847460c5a08aa20e2d6b7828cd9910b0ad999bb991ae79f93f5435000cd,src-9b0f4b535b8b482f4b752e71e240c8744f11287ce60155b03a28e5b756f3156b,331-C0013C|13-upper1|Bulk,Cr,Cr,1.44,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,84,PANGAEA.856762.tab#row=84,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper1,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cr [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-13d6d51f564af1e7dbd34e34932d87bc8f667a25b616385c9fba78149f217f9e,src-9b0f4b535b8b482f4b752e71e240c8744f11287ce60155b03a28e5b756f3156b,331-C0013C|13-upper1|Bulk,Cu,Cu,445.50,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,84,PANGAEA.856762.tab#row=84,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper1,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cu [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-59a54411b3b4d3f2278e35c4c6b178488a888f1f8c162e7cebf531386545e2a2,src-9b0f4b535b8b482f4b752e71e240c8744f11287ce60155b03a28e5b756f3156b,331-C0013C|13-upper1|Bulk,Pb,Pb,285.70,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,84,PANGAEA.856762.tab#row=84,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper1,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Pb [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8f30f3d3d61f869f9cb3c6c6257216a3f0a8e367fddf6151d8b57c141cdf699f,src-9b0f4b535b8b482f4b752e71e240c8744f11287ce60155b03a28e5b756f3156b,331-C0013C|13-upper1|Bulk,Zn,Zn,68.84,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,84,PANGAEA.856762.tab#row=84,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper1,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Zn [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8e703340c484718a4252ee72d849c9f90a0394af001519fabc4ef1861ae33524,src-14c6ee588961df9642625a2e3b2b870de6b40d1c51123b4ae74c5936b4b0190d,331-C0013C|13-upper2|Bulk,Cr,Cr,0.76,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,85,PANGAEA.856762.tab#row=85,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper2,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cr [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-525bc6932fb6c85dceabf11c195c55f2667e6c7d220e9c027acdcd1c188e0541,src-14c6ee588961df9642625a2e3b2b870de6b40d1c51123b4ae74c5936b4b0190d,331-C0013C|13-upper2|Bulk,Cu,Cu,18.22,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,85,PANGAEA.856762.tab#row=85,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper2,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cu [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-430a4e9ab1d5ac0278f5b59a38374e932f346abe22463d956870ac8a30786f98,src-14c6ee588961df9642625a2e3b2b870de6b40d1c51123b4ae74c5936b4b0190d,331-C0013C|13-upper2|Bulk,Pb,Pb,10.59,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,85,PANGAEA.856762.tab#row=85,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper2,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Pb [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-25b0fb5595665123375d0704734b161f9c88f12d99314a77a5eb64a5f0c913a1,src-14c6ee588961df9642625a2e3b2b870de6b40d1c51123b4ae74c5936b4b0190d,331-C0013C|13-upper2|Bulk,Zn,Zn,140.00,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,85,PANGAEA.856762.tab#row=85,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper2,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Zn [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-47bade7253ad92150cb2519e95f64eaff15663e165cff03e696b47f4b2046e01,src-6ea137b8943629c3088842cd210430e48277d5646f99311c8438b1108b0a74b2,331-C0013C|13-upper3|Bulk,Cr,Cr,1.95,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,86,PANGAEA.856762.tab#row=86,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper3,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cr [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-425b3f9a9b5a095c85b22612558b304d46353c5eddbc5f5b827847f3b6545ad8,src-6ea137b8943629c3088842cd210430e48277d5646f99311c8438b1108b0a74b2,331-C0013C|13-upper3|Bulk,Cu,Cu,31.78,mg/kg,sediment,,clay_fraction_bulk_sediment_analysis,,,,,,,27.7902,126.8977,EPSG:4326,,,,X-ray diffraction (XRD) per publisher parameter labels,,"clay fraction, bulk analysis",,CC-BY-3.0,peer_reviewed,pangaea-east-china-sea-clay,"(Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers",10.1594/PANGAEA.856762,2016-01-11,PANGAEA.856762.tab,86,PANGAEA.856762.tab#row=86,https://doi.pangaea.de/10.1594/PANGAEA.856762?format=textfile,b70b0d566d17d76c16e2bcad1f0ec176cca7c0efccf68243fb9ea28aac55d5e2,,,,clay fraction,,,,,Bulk,sediment_clay_fraction_bulk,exact,,331-C0013C / 13-upper3,,,331-C0013C,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,X-ray diffraction (XRD) per publisher parameter labels,,,,,PANGAEA.856762.tab#parameter=Cu [mg/kg],,,,,,"[""Shao, Hebin; Yang, Shouye; Wang, Quan; Guo, Yulong (2016): (Appendix A) Concentrations of major oxides and trace elements in clay from different IODP Holes of 331-C0013, 331-C0017, East China sea shelf and different Taiwan rivers. PANGAEA. https://doi.org/10.1594/PANGAEA.856762""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
