record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-a401738d9f03a42a8ac869956e369e42b441885e5ed9bb4420a46ad621aea485,src-0e05c733f272d431420e373279147fd31c8c25ef84e142f983ab6b1bbad6e3b0,SC-5,As,As,14.84,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,115,Table_S5.tab#row=115,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=115,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-aa4780b9baa05c3dc629fa5f3bd0e68fcd7f7bf983bbcf6eeb57efef7c4d4ead,src-0e05c733f272d431420e373279147fd31c8c25ef84e142f983ab6b1bbad6e3b0,SC-5,Cu,Cu,49.47,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,115,Table_S5.tab#row=115,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=115,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-eb03c751ea054a852e349682fa23a4bb7722fdf31179d608a2e68195fb22ba10,src-0e05c733f272d431420e373279147fd31c8c25ef84e142f983ab6b1bbad6e3b0,SC-5,Ni,Ni,74.24,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,115,Table_S5.tab#row=115,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=115,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-66e5109cae539a634ec417ad2eeb218759901746d6dddd0bd752252ecba167e5,src-0e05c733f272d431420e373279147fd31c8c25ef84e142f983ab6b1bbad6e3b0,SC-5,Zn,Zn,162.8,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,115,Table_S5.tab#row=115,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=115,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-a44da2e77de7ed53ee0ec826e6520d4028cae498f5eaa9fbd21f2d07ecadd32e,src-8a9ae8099037da6db634b3676dd754259100ff2ecd671891397cbb6dfcbf2491,SC-7,As,As,12.87,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,116,Table_S5.tab#row=116,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=116,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-37696a31a1265b0538d458c22fcf35b1776fa5f7ade6518206ef7f5703f12a0f,src-8a9ae8099037da6db634b3676dd754259100ff2ecd671891397cbb6dfcbf2491,SC-7,Cu,Cu,37.91,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,116,Table_S5.tab#row=116,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=116,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c2a62a2cf309b67d938f3e9bc7707ae4d30837eb6f1bdb9ef246a514395948a1,src-8a9ae8099037da6db634b3676dd754259100ff2ecd671891397cbb6dfcbf2491,SC-7,Ni,Ni,57.24,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,116,Table_S5.tab#row=116,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=116,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-c9c323b83abad0b270d681a3b7bb17c960e3359cd18e6da3e73312f7beba888f,src-8a9ae8099037da6db634b3676dd754259100ff2ecd671891397cbb6dfcbf2491,SC-7,Zn,Zn,131.3,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,116,Table_S5.tab#row=116,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=116,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-9c851ecb134350f5535ab5ded37e16b17aac9a60f34b8fd94970054b33586fb3,src-b4edd3f7269784683f202921b87ba6f9475734d83cc7c93bf3c09426cd7ec574,SC-8,As,As,9.67,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,117,Table_S5.tab#row=117,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=117,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
rec-7366d4ba564bd6529364238d5b1273c63c1c0ad1605c7f09d7342f1b3fe68f32,src-b4edd3f7269784683f202921b87ba6f9475734d83cc7c93bf3c09426cd7ec574,SC-8,Cu,Cu,30.51,mg/kg,soil,,deflatable_soil_fraction_total_acid_digest,,,,,,,30.6700,11.7300,EPSG:4326,,,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,HF-HNO3 acid digestion,,CC-BY-4.0,official_curated,pangaea-north-africa-soil,Chemical compositions of deflatable soil fractions from North Africa,10.1594/PANGAEA.949903,2022-10-25,Table_S5.tab,117,Table_S5.tab#row=117,de402b7f469c2d7c182abb285e624f2a1e6b1d00ec66e3dc2fae7ec9c8e4a485,,,,<20 µm fine silt-clay fraction,deflatable surface soil fraction,soil_surface,dataset_constant,,Libya (Camp Derj),PSA LAM (Libya-Algeria-Mali),,,,,,surface,,,,,,,,,,,,,,,not_reported,dataset,dataset_documented_constant,,Agilent 7900 quadrupole ICP-MS; 2.5% HNO3 eluent,,,,,Table_S5.tab#row=117,doi:10.1016/j.quascirev.2022.107729,,,doi:10.1016/j.quascirev.2022.107729,10.1016/j.quascirev.2022.107729,"[""Guinoiseau, D. et al. (2022). Chemical compositions of deflatable soil fractions from North Africa. PANGAEA. https://doi.org/10.1594/PANGAEA.949903""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-06T10:05:00Z
