record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-dd60979dfdcdf4251d7e17da668eb0d7df3ab2009a257e6b3eec3e89545a0876,src-f31c8c1d148ee941e87f24080a5bf1f9bfaafff81583b9f8d564d5b937a7cb7c,Beibuwan_Bay-B22,Cr,Cr,26.10,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.6000,108.0833,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,101,PANGAEA.855177.tab#row=101,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B22,,,Beibuwan_Bay-B22,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Cr [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-cd1bd42d7273ace9a5b69f32660878e9fddae79aa2c29cac8710d0d32dd466aa,src-f31c8c1d148ee941e87f24080a5bf1f9bfaafff81583b9f8d564d5b937a7cb7c,Beibuwan_Bay-B22,Cu,Cu,14.20,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.6000,108.0833,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,101,PANGAEA.855177.tab#row=101,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B22,,,Beibuwan_Bay-B22,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Cu [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-bb0a18dae33ddb35593588d958cd396f0c3cccfa849c38701f672c6e85e25cec,src-f31c8c1d148ee941e87f24080a5bf1f9bfaafff81583b9f8d564d5b937a7cb7c,Beibuwan_Bay-B22,Ni,Ni,12.20,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.6000,108.0833,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,101,PANGAEA.855177.tab#row=101,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B22,,,Beibuwan_Bay-B22,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Ni [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-5f494344f00ae3991430200ee69d7a0b832cce035ac5cca99071c257c7313974,src-f31c8c1d148ee941e87f24080a5bf1f9bfaafff81583b9f8d564d5b937a7cb7c,Beibuwan_Bay-B22,Pb,Pb,13.10,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.6000,108.0833,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,101,PANGAEA.855177.tab#row=101,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B22,,,Beibuwan_Bay-B22,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Pb [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-ef0786a225f0e9b45a225ca6b40f53dca465d16c051f69efb94eb73f1bfcb12c,src-f31c8c1d148ee941e87f24080a5bf1f9bfaafff81583b9f8d564d5b937a7cb7c,Beibuwan_Bay-B22,Zn,Zn,17.8,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.6000,108.0833,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,101,PANGAEA.855177.tab#row=101,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B22,,,Beibuwan_Bay-B22,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Zn [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-67aaf2f0fb3756b640960a233af6512f0146275c3db09727510901957e834a96,src-159f1c81dd8cee10b29c926b439586971e2fef1353919203267ee203e11de8f4,Beibuwan_Bay-B36,Cr,Cr,57.20,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.3667,109.5000,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,102,PANGAEA.855177.tab#row=102,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B36,,,Beibuwan_Bay-B36,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Cr [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-a6cde1aac7ab7eeb0e2edfc68984d61168b28372ce73b76228d474e4a378359d,src-159f1c81dd8cee10b29c926b439586971e2fef1353919203267ee203e11de8f4,Beibuwan_Bay-B36,Cu,Cu,22.00,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.3667,109.5000,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,102,PANGAEA.855177.tab#row=102,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B36,,,Beibuwan_Bay-B36,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Cu [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-a86a7df836f1862ae718e77b9e1db26827220b01a4e899789c152cb8b83e62b1,src-159f1c81dd8cee10b29c926b439586971e2fef1353919203267ee203e11de8f4,Beibuwan_Bay-B36,Ni,Ni,21.40,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.3667,109.5000,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,102,PANGAEA.855177.tab#row=102,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B36,,,Beibuwan_Bay-B36,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Ni [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-4d86af02ce6a5da95c77419d90e1f17f6e99b0dc35cfb6bab24d2bca103af4b9,src-159f1c81dd8cee10b29c926b439586971e2fef1353919203267ee203e11de8f4,Beibuwan_Bay-B36,Pb,Pb,19.50,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.3667,109.5000,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,102,PANGAEA.855177.tab#row=102,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B36,,,Beibuwan_Bay-B36,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Pb [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-3df220519c77dea8af116e444c6eba8ed5042fb72b289a590f0486f0b053adb9,src-159f1c81dd8cee10b29c926b439586971e2fef1353919203267ee203e11de8f4,Beibuwan_Bay-B36,Zn,Zn,44.9,mg/kg,sediment,,bulk_marine_surface_sediment_geochemical_analysis,,,,,,,20.3667,109.5000,EPSG:4326,,,,"ICP-MS, Perkin-Elmer, Elan 6000",,not reported in publisher table,,CC-BY-3.0,peer_reviewed,pangaea-south-china-sea-sediment,(Table 2) Trace elements from different sediment cores in the southern China Sea,10.1594/PANGAEA.855177,2015-11-23,PANGAEA.855177.tab,102,PANGAEA.855177.tab#row=102,https://doi.pangaea.de/10.1594/PANGAEA.855177?format=textfile,703995078eaa849014e5075d357adaba5f33c76f95e349dc2329e8656047ea5d,,0,0,bulk sediment,,,,,marine surface sediment,sediment_marine_surface,dataset_constant,,Beibuwan_Bay-B36,,,Beibuwan_Bay-B36,,,,,marine,,,,,,,,,,,,,,not_reported,parameter,pangaea_parameter_method_metadata,,"ICP-MS, Perkin-Elmer, Elan 6000",,,,,PANGAEA.855177.tab#parameter=Zn [mg/kg] (original unit is in ppm),,,,,,"[""Wei, Gangjian; Liu, Ying; Ma, Jinlong; Xie, Luhua; Jianfang, Chen; Deng, Wenfeng; Song, Tang (2015): (Table 2) Trace elements from different sediment cores in the southern China Sea. PANGAEA. https://doi.org/10.1594/PANGAEA.855177""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/3.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
