record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-a522d14f841ad9e5dac728197f659e78e785689bae0cae2b7b16dde079415baf,src-def491b671bf9dc74967944a0f846092440ca50cc6cd34afb334f7c574d95278,12524,As,As,29,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,30.478101,63.594516,,,,,,,icpaes/icpms;; ign;; xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,12525,complete.csv#row=12525,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,ferrocarbonatite,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,icpaes/icpms;; ign;; xrf,,,,,complete.csv#row=12525,doi:10.2113/econgeo.107.2.197,,,doi:10.2113/econgeo.107.2.197,10.2113/econgeo.107.2.197,"[""(2012). a major light rare-earth element (lree) resource in the khanneshin carbonatite complex, southern afghanistan. econ. geol.. doi:10.2113/econgeo.107.2.197""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-623156ffe2441708dcafd73d3bc7a65eb57f9fcfe1a2d8de3d1a582d71ea3e3a,src-6598d20574d283274986a9e36c78122f06cff578a9c6d9e1189dc4be6c9c0275,25264,As,As,1.6,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,40.18,44.52,,,,,,,grav;; icpms,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,25265,complete.csv#row=25265,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,granite,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,grav;; icpms,,,,,complete.csv#row=25265,doi:10.1556/ageol.49.2006.1.5,,,doi:10.1556/ageol.49.2006.1.5,10.1556/ageol.49.2006.1.5,"[""(2006). comparative geochemical studies of obsidian samples from various localities. acta geol. hungarica. doi:10.1556/ageol.49.2006.1.5""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-c1a2ccbc414f47f08905db261a06d16f13cec1e31014636f887a91f0b3d38f72,src-dceac49eb05e5f3e20ca47c0dd3642bba20400b38fd9bddb12d03b5178fb25cd,25560,As,As,2.04,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,39.2,46.47,,,,,,,inaa;; xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,25561,complete.csv#row=25561,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,rhyolite,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,inaa;; xrf,,,,,complete.csv#row=25561,,,,,,"[""(1994). armenian and caucasian obsidian occurrences as sources for the neolithic trade: volcanological setting and chemical characteristics. proc. 29th int. symp. archaeometry, ankara""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-2d1eeec8b2942f2e0058a0f5c752e421f25eea33d05ddf5f83db2aa98f128a3c,src-3be7f94a1a88e8fd43dd30506a624714e818f69be357986973073f775bfdc3e5,990755,As,As,5.7,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,34.36,65.25,,,,,,,,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,990756,complete.csv#row=990756,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,felsic gneiss,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,doi:10.1016/j.gsf.2015.12.011,10.1016/j.gsf.2015.12.011,"[""Motuza, Gediminas & {\\v{S}}liaupa, Saulius. (2017). Supracrustal suite of the Precambrian crystalline crust in the Ghor Province of Central Afghanistan. Geoscience Frontiers. doi:10.1016/j.gsf.2015.12.011""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-2e8f993adfe5cc252240f5aeb73081e08632619538f0b4143cb6a8a5abbfb22b,src-6601a74c050dfb0b92a7854097ad3555124fe0630d1fe3c09c20bb9c0e5c9704,1011980,As,As,0.1,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,-77.74576096,162.160329,,,,,,,xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,1011981,complete.csv#row=1011981,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,pneumatolytic/vein & greyschist,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,xrf,,,,,complete.csv#row=1011981,,,,,,"[""allibone, a.h. (1988) koettlitz group, antarctica [unpublished msc thesis]""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-0968e93a73c03e5201829bacddbec6f50fdd5945c9c2b9bc9e8b2e59b92bc7da,src-94db762ded263ef632a135440513030e277e605aba729504526335a432336efa,1012452,As,As,2.9,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,-67.008027,142.654994,,,,,,,,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,1012453,complete.csv#row=1012453,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,gneiss,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""champion, d. c., budd, a. r., hazell, m. s., and sedgmen, a., 2007, ozchem national whole rock geochemistry dataset, commonwealth of australia (geoscience australia).""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-92d8fc7cb4a755c1761465b74e1d71f9adae2f929ec551ea3a1752652d5c47ba,src-a3765aa51d20f35aae3f6ef3350946b6751f59b6fdf72380386df2c16786a4c2,1014857,As,As,1,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,-79.58011158,158.9012545,,,,,,,xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,1014858,complete.csv#row=1014858,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,granitic,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,xrf,,,,,complete.csv#row=1014858,,,,,,"[""grenfell, h. (ed.)(2002) geological society of new zealand annual conference, northland 2002, 2� [unpublished msc]""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-4420ac5eabe14856f523b66c8d5bbe2a90d83ab25eb964d2ba9b0cd5049be80b,src-db138dc3b387fec1c7ee42031b6fe99d00af462cb3ba5f0a4bc59c6028998ad4,1021730,As,As,14,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,-82.861005,134.528561,,,,,,,,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,1021731,complete.csv#row=1021731,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,chert,,,,,,,,,,,,,,,,,,not_reported,,,,,,,,,,,not_reported,,,,"[""geological survey of western australia""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-e54c93372970c5e9436a7755fc6115f131c12162bbb251682fb772766f0cb1fc,src-00e1a6105c41a18b7cff803808ad8bc47f277bcc5c9193eed0666b7e02b5ee53,24248,Cr,Cr,66.66,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,41.04536,43.66833,,,,,,,icpms;; ign;; xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,24249,complete.csv#row=24249,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,trachyandesite,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,icpms;; ign;; xrf,,,,,complete.csv#row=24249,doi:10.1016/j.lithos.2013.05.005,,,doi:10.1016/j.lithos.2013.05.005,10.1016/j.lithos.2013.05.005,"[""(2013). pliocene-quaternary volcanic rocks of nw armenia: magmatism and lithospheric dynamics within an active orogenic plateau. lithos. doi:10.1016/j.lithos.2013.05.005""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
rec-5c995826c249afe52db90cc10a9997077a14594bdffea138047032b6894f90d8,src-dceac49eb05e5f3e20ca47c0dd3642bba20400b38fd9bddb12d03b5178fb25cd,25560,Cr,Cr,3.19,ppm,rock,whole rock,GARD2019_compilation_reported_value,,,,,39.2,46.47,,,,,,,inaa;; xrf,,,,CC-BY-4.0,official_curated,zenodo-gard-whole-rock,Global whole-rock geochemical database compilation (v1.1.0),10.5281/zenodo.3359791,zenodo-record-3359791-v1.1.0,complete.csv,25561,complete.csv#row=25561,https://zenodo.org/api/records/3359791/files/complete.zip/content,c9054b2f87ec51589d1974aa35e00ce2efb696e5db7f265ef279e8c67beb61ba,,,,,,,,,whole rock,rock_whole_rock,dataset_constant,,,,,,rhyolite,,,,,,,,,,,,,,,,,,not_reported,observation,publisher_method_table_join_where_reported,,inaa;; xrf,,,,,complete.csv#row=25561,,,,,,"[""(1994). armenian and caucasian obsidian occurrences as sources for the neolithic trade: volcanological setting and chemical characteristics. proc. 29th int. symp. archaeometry, ankara""]",observation,record_citation_ids,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-15T07:00:00Z
