record_id,source_record_id,sample_id,element_or_analyte,analyte_reported,value,unit,medium,material,measurement_basis,value_qualifier,missing_reason,detection_limit,detection_limit_unit,original_latitude_raw,original_longitude_raw,latitude,longitude,source_crs,coordinate_transform_method,coordinate_uncertainty_m,geologic_unit,analytical_method,method_family,digestion_or_extraction,laboratory,license,source_tier,source_id,dataset_title,dataset_doi,dataset_version,source_file,source_row,source_locator,official_source_url,file_sha256,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction,coordinate_evidence_scope,coordinate_policy_id,coordinate_latitude_field,coordinate_longitude_field,sample_type_raw,sample_type,sample_type_mapping_status,sample_type_missing_reason,geographic_context_raw,survey_area,map_sheet,cruise_track,lithology_raw,lithology,soil_horizon_raw,soil_horizon,sediment_environment,water_body_type,water_fraction,filtered_state,geologic_unit_raw,geologic_age_raw,tectonic_setting_raw,matched_geologic_unit,geology_map_source,geology_map_version,match_method,match_scale,boundary_distance_m,match_uncertainty,geology_missing_reason,method_scope,method_assignment_basis,preparation,analytical_technique,instrument,quantitation_limit,quantitation_limit_unit,reference_materials,method_source_locator,method_publication_id,method_missing_reason,citation_id_raw,publication_id,publication_doi,citation_text_raw,citation_scope,citation_assignment_basis,upstream_primary_source_id,citation_resolution_status,citation_missing_reason,access_status,research_use_status,license_url,license_scope,attribution_required,redistribution_status,terms_verified_at
rec-ebb44483e669ed088de556d473f10402c9baf28e8b27f173683a231010fcd430,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,As,As,31.461347531642723,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-7f79867c4b83159de095cd8c6298d71cb8f2363de871a1bc1f2054de5a261a9d,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,Cr,Cr,107.64640708944657,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-7d77f605c65a12303fced4c5abed7954a508595e2bb584e61598de34989b4246,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,Cu,Cu,22.876301276786013,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-8ba18778e9c560fcfafedc65fd4a8ca40d7e834c2ad63c311a2652f3f562e942,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,Ni,Ni,37.849330077380216,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-63f77e4122a15003694bc45724d7323bee40093e33a955b06a070f2f7ed5bdbb,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,Pb,Pb,12.441554963547564,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-1681b8881eae9cfec322c1a43bd49249ac6caa97769ea0cf58229ae8e0f55c79,src-dcf9213bfa12af29b3cd24c5447d53d82aa603dfb63a2e2721ecf094c5019376,HCl-residual HH-1 <5 µm,Zn,Zn,78.41253831214452,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,13,Data Set S2.xlsx#sheet1-row=13,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,<5 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 <5 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-32dd926039d8abc5d469e4bb62e5f2c4cb49b12934bdccd48745140fcd5a7ff9,src-33e8510918d30364b8cf2744474b8d1ce99c8daddeebe338611437cea959c2f1,HCl-residual HH-1 5-10 µm,As,As,12.377352794682492,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,14,Data Set S2.xlsx#sheet1-row=14,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,5-10 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 5-10 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-b08dd76c35facc8ba97268978fa8255f1811ca13d8a1badd0c2432855ee7a2a6,src-33e8510918d30364b8cf2744474b8d1ce99c8daddeebe338611437cea959c2f1,HCl-residual HH-1 5-10 µm,Cr,Cr,69.682811421566583,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,14,Data Set S2.xlsx#sheet1-row=14,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,5-10 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 5-10 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-bc513819f29a1c01f4a7260e24d909ee5acd723df280913d4f9e764e178fd720,src-33e8510918d30364b8cf2744474b8d1ce99c8daddeebe338611437cea959c2f1,HCl-residual HH-1 5-10 µm,Cu,Cu,15.317232060716847,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,14,Data Set S2.xlsx#sheet1-row=14,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,5-10 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 5-10 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
rec-adfde174f23f25a4e34f90b1c6c1911da76a7f4d62a34ee1a5a9caeaab6ac870,src-33e8510918d30364b8cf2744474b8d1ce99c8daddeebe338611437cea959c2f1,HCl-residual HH-1 5-10 µm,Ni,Ni,27.876071603226681,ug/g,sediment,,HCl_residual_size_fraction,,,,,,,,,,,,,,,HCl-leach residual component (dataset-described size-differentiated separate),,CC-BY-4.0,author_supplement,zenodo-yangtze-yellow-river-sediment,"Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments",10.5281/zenodo.7098563,zenodo-record-7098563-rev2-2022-09-21,Data Set S2.xlsx,14,Data Set S2.xlsx#sheet1-row=14,https://zenodo.org/api/records/7098563/files/Data%20Set%20S2.xlsx/content,413f54f6544967d1d96b9eacfbeae41ba410a8c4b0375bdfaabc1293fd6fadd2,,,,5-10 µm,,,,,river sediment size-fraction separate,sediment_river_fraction,dataset_constant,,Yellow River (Huanghe) / HCl-residual HH-1 5-10 µm,Yellow River (Huanghe),,,,,,,river,,,,,,,,,,,,,,not_reported,,,,,,,,,,,workbook_reports_no_analytical_method,,,,"[""Wu, Chao (2022). Evaluation of Grain size, Amorphous Fe-Mn Oxides, and Chemical Weathering Effects on Geochemical Identification of the Yangtze River and Yellow River Sediments [Data set]. Zenodo. https://doi.org/10.5281/zenodo.7098563""]",dataset,dataset_metadata,,resolved,,public_download,permitted_research,https://creativecommons.org/licenses/by/4.0/,dataset,true,not_evaluated_for_project_output,2026-08-13T10:00:00Z
