StationID,Collector,CollectionDate,JobID,Submitter,SubmittalDate,ReportDate,Lat_WGS84,Long_WGS84,Quad24k83,LocationDescription,LocationConfidenceMeters,RockType,RockName,GeoAge,FormOrFacies,Notes,AnalyticalMethods,SiO2,Al2O3,Fe2O3,CaO,MgO,Na2O,K2O,Cr2O3,TiO2,MnO,P2O5,SrO,BaO,LOI,Total,Ag,As,Ba,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Ga,Gd,Hf,Ho,Li,La,Lu,Mo,Nb,Nd,Ni,Pb,Pr,Rb,Sc,Sm,Sn,Sr,Ta,Tb,Th,Tl,Tm,U,V,W,Y,Yb,Zn,Zr,Co_4ACD81,Mo_MS81
F10_150GC,"Felger, T.J.",6/23/2010,RE11063073,"Clark, D.L.",4/18/2011,5/17/2011,41.653028,-113.2185221,Peplin Flats,Ombey,5,"igneous, volcanic",basalt,Eocene?,lava flow,,ME-XRF06; ME-MS81,49,15.66,9.58,7.87,6.7,3.14,2.13,0.02,1.59,0.14,0.472,0.06,0.09,3.38,99.84,-1,,766,,67.3,30.1,190,0.53,30,4.65,2.54,1.88,18,5.64,5,0.97,,34.2,0.34,2,25.3,32.2,106,7,8.31,48.7,,6.46,1,566,1.5,0.82,5.09,-0.5,0.36,1.51,165,1,26.3,2.32,95,219,,
F10_274GC,"Felger, T.J.",7/6/2010,RE11063073,"Clark, D.L.",4/18/2011,5/17/2011,41.656948,-113.2843671,Russian Knoll,NE of Dove Creek Well,5,"igneous, volcanic",basalt,Pliocene,lava flow,,ME-XRF06; ME-MS81,45.19,13.76,17.06,9.34,6.42,2.46,0.57,-0.01,3.37,0.21,0.549,0.03,0.05,-0.66,98.36,-1,,478,,57,50.1,70,0.22,19,7.29,3.96,2.74,22.3,7.93,5.2,1.53,,27.5,0.55,-2,20.3,33.2,68,-5,7.71,8.8,,7.8,1,322,1.1,1.23,1.17,-0.5,0.58,0.39,357,-1,42.6,3.58,182,239,,
F10_280GC,"Felger, T.J.",7/7/2010,RE11063073,"Clark, D.L.",4/18/2011,5/17/2011,41.720466,-113.2280161,Peplin Flats,NE of Baker Mtn,5,"igneous, volcanic",basalt,Miocene or Pliocene,lava flow,,ME-XRF06; ME-MS81,44.95,13.98,17.31,9.41,6.3,2.55,0.69,-0.01,3.35,0.22,0.538,0.04,0.06,-0.62,98.77,-1,,521,,61.2,49.9,50,0.22,24,7.51,4.22,2.7,22.5,8.05,5.8,1.57,,29.6,0.58,-2,20.7,34.2,70,5,8.11,10.4,,8.12,1,329,1.2,1.27,1.58,-0.5,0.61,0.44,355,-1,43.5,3.72,184,259,,
F10_281GC,"Felger, T.J.",7/7/2010,RE11063073,"Clark, D.L.",4/18/2011,5/17/2011,41.719226,-113.2193891,Peplin Flats,NE of Baker Mtn; same flow as 280,5,"igneous, volcanic",basalt,Miocene or Pliocene,lava flow,,ME-XRF06; ME-MS81,44.98,14.85,16.91,10.14,6.56,2.57,0.55,0.01,2.95,0.22,0.501,0.04,0.05,-0.33,100,-1,,437,,52.5,50.1,70,0.19,26,7.2,4.01,2.53,22.3,7.9,4.9,1.5,,24.6,0.52,-2,18.9,30,73,-5,7.09,7.7,,7.29,1,333,1.1,1.2,1.12,-0.5,0.59,0.35,343,-1,40,3.53,172,209,,
F10_286GC,"Felger, T.J.",7/7/2010,RE11134126,"Clark, D.L.",7/15/2011,8/16/2011,41.700842,-113.2068481,Peplin Flats,E of Baker Mtn,5,"igneous, volcanic",rhyolite tuff,Eocene,ash-flow tuff,,ME-XRF06; ME-MS81,66.67,15.54,3.23,2.45,0.7,3.32,4.88,-0.01,0.4,0.02,0.12,0.05,0.16,2.21,99.74,-1,,1465,,71,3.7,-10,1.7,-5,2.89,1.51,1.29,18.2,3.38,6.4,0.56,,39.1,0.22,-2,14.2,28.8,-5,15,7.68,140.5,,4.91,1,427,0.9,0.49,17.2,-0.5,0.22,3.63,39,4,16.1,1.46,50,235,,
F09_046GC,"Felger, T.J.",9/29/2009,RE11134126,"Clark, D.L.",7/15/2011,8/16/2011,41.84258938,-113.1844945,Black Butte,W of Black Butte,5,"igneous, volcanic",basalt,Miocene?,lava flow,,ME-XRF06; ME-MS81,45.68,14.42,15.75,9.67,7.18,2.34,0.53,0.02,3.48,0.2,0.564,0.04,0.04,-0.63,99.28,-1,,378,,55.1,52.4,200,0.2,34,7.67,4.25,2.82,21.2,8.25,4.9,1.59,,24.8,0.57,-2,24.4,34.2,97,-5,7.32,9.1,,8.01,1,318,1.3,1.28,1.85,-0.5,0.6,0.46,318,3,41.4,3.7,150,194,,
F11_149GC,"Felger, T.J.",8/25/2011,RE11248530-RE12004314,"Clark, D.L.",11/28/2011,1/18/2012,41.661675,-114.0392511,Death Creek Reservoir,W end Death Creek Reservoir,5,"igneous, volcanic",basalt,Miocene,lava flow,"Ag, As, Cd, Cu, Mo, Ni, Pb, and Zn values by ME-4ACD81; all other trace-REE values by ME-MS81",ME-XRF06; ME-MS81; ME-4ACD81,49.2,15.43,12.62,9.39,5.08,2.84,1.06,-0.01,1.92,0.19,0.491,0.04,0.1,1.54,99.9,-0.5,12,830,-0.5,86.6,49.2,70,6.14,37,7.11,4.08,2.39,23.3,7.66,5.1,1.41,,44,0.57,2,16.4,40.6,75,8,10.25,71.3,,7.97,1,496,1,1.15,4.02,-0.5,0.6,0.82,299,2,38.6,3.87,122,193,39,-2
F11_138GC,"Felger, T.J.",8/24/2011,RE11248530-RE12004314,"Clark, D.L.",11/28/2011,1/18/2012,41.65574,-114.0204991,Death Creek Reservoir,S side Death Creek Reservoir,5,"igneous, volcanic",rhyolite,Miocene,lava flow,"Ag, As, Cd, Cu, Mo, Ni, Pb, and Zn values by ME-4ACD81; all other trace-REE values by ME-MS81",ME-XRF06; ME-MS81; ME-4ACD81,77.58,11.28,1.29,0.43,0.16,2.78,4.9,-0.01,0.11,-0.01,0.022,0.01,0.01,0.46,99.02,-0.5,39,171,-0.5,199,-0.5,10,5.03,2,12.65,7.03,0.35,26.2,12.9,9.4,2.38,,111,0.92,2,42.5,75.8,-1,54,22.8,282,,14.85,9,27.9,3.6,2.03,55.6,1.1,1.06,14.2,-5,4,62.6,6.72,47,228,1,3
GCDC-7,"Clark, D.L.",8/23/2011,RE11248530-RE12004314,"Clark, D.L.",11/28/2011,1/18/2012,41.96649546,-113.894048,Pole Creek,B/W Pole and Birch Creeks,5,"igneous, volcanic",rhyolite,Miocene,ash-flow tuff,"Ag, As, Cd, Cu, Mo, Ni, Pb, and Zn values by ME-4ACD81; all other trace-REE values by ME-MS81",ME-XRF06; ME-MS81; ME-4ACD81,71.4,13.62,2.99,1.35,0.35,3.54,4.74,-0.01,0.4,0.01,0.105,0.02,0.14,0.85,99.51,-0.5,-5,1330,-0.5,190.5,2.1,10,1.99,3,10.85,5.73,1.98,25.6,12.85,10.8,2,,141,0.79,2,37.9,90.2,2,34,26.6,198,,15.3,5,223,2.6,1.79,35.1,0.7,0.84,5.58,12,2,54.6,5.53,65,378,2,2
BW1,"Clark, D.L.",10/2/2017,RE17240595,"Clark, D.L.",11/2/2017,11/21/2017,40.74466065,-113.1445656,Aragonite NW,Grayback Hills,10,"igneous, volcanic",latite,Eocene,lava flow,"Ag, As, Cd, Co, Cu, Li, Mo, Ni, Pb, Sc, Tl, and Zn values by ME-4ACD81; all other trace-REE values by ME-MS81",ME-XRF06; ME-MS81; ME-4ACD81,58.94,17.27,6.96,5.33,2.21,3.22,3.9,-0.01,0.72,0.12,0.312,0.06,0.13,1.02,100.2,-0.5,5,1140,-0.5,77.5,18,20,2.56,14,4.25,2.15,1.42,21,5.42,5.1,0.89,20,43.7,0.33,2,13.5,32.2,5,21,8.85,138,11,6.09,2,444,0.8,0.73,14.2,-10,0.37,3.5,123,2,21.6,1.92,89,196,,
