SortOrder,Tblname,AttributeLabel,AttributeDescription,AttributeUnit,DescriptionSource
1,UTVolcRocks_UGS-ALS_Data,StationID,The identifier originally assigned to a sample by collecting party or sample submitter. Values may not be unique in this database.,,This data release
8,UTVolcRocks_UGS-ALS_Data,Lat_WGS84,"Latitude coordinate of sample site, reported in decimal degrees; converted, if necessary, to WGS84 datum.",Decimal degrees,This data release
9,UTVolcRocks_UGS-ALS_Data,Long_WGS84,"Longitude coordinate of sample site, reported in decimal degrees; converted, if necessary, to WGS84 datum.",Decimal degrees,This data release
12,UTVolcRocks_UGS-ALS_Data,LocationConfidenceMeters,Radius (in meters) of positional-uncertainty envelope of the sample location.,,This data release
13,UTVolcRocks_UGS-ALS_Data,RockType,The general rock classification.,,This data release
14,UTVolcRocks_UGS-ALS_Data,RockName,The specific rock name assigned by the collector based on initial field observations. Queried if uncertain.,,This data release
15,UTVolcRocks_UGS-ALS_Data,GeoAge,Geologic age or age range for a rock sample. Queried if uncertain.,,This data release
20,UTVolcRocks_UGS-ALS_Data,AnalyticalMethods,Laboratory codes for the analytical methods used to analyze the sample. Multiple laboratory codes separated by semicolons.,,This data release
36,UTVolcRocks_UGS-ALS_Data,As,"Arsenic, determined by ICP-AES analysis of 9-12 base metal elements, following sample decomposition by four-acid digestion (ME-4ACD81). Method detection range: 5-10,000 ppm As. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
41,UTVolcRocks_UGS-ALS_Data,Cr,"Chromium, determined by 30-38 element ICP-MS, lithium metaborate fusion (ME-MS81). Method detection range: 10-10,000 ppm Cr. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
43,UTVolcRocks_UGS-ALS_Data,Cu,"Copper, determined by 30-38 element ICP-MS, lithium metaborate fusion (ME-MS81) or by ICP-AES analysis of 9-12 base metal elements, following sample decomposition by four-acid digestion (ME-4ACD81). ME-MS81 method detection range: 5-10,000 ppm Cu. ME-4ACD81 method detection range: 1-10,000 ppm Cu.Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
57,UTVolcRocks_UGS-ALS_Data,Ni,"Nickel, determined by 30-38 element ICP-MS, lithium metaborate fusion (ME-MS81) or by ICP-AES analysis of 9-12 base metal elements, following sample decomposition by four-acid digestion (ME-4ACD81). ME-MS81 method detection range: 5-10,000 ppm Ni. ME-4ACD81 method detection range: 1-10,000 ppm Ni. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
58,UTVolcRocks_UGS-ALS_Data,Pb,"Lead, determined by 30-38 element ICP-MS, lithium metaborate fusion (ME-MS81) or by ICP-AES analysis of 9-12 base metal elements, following sample decomposition by four-acid digestion (ME-4ACD81). ME-MS81 method detection range: 5-10,000 ppm Pb. ME-4ACD81 method detection range: 1-10,000 ppm Pb. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
75,UTVolcRocks_UGS-ALS_Data,Zn,"Zinc, determined by 30-38 element ICP-MS, lithium metaborate fusion (ME-MS81) or by ICP-AES analysis of 9-12 base metal elements, following sample decomposition by four-acid digestion (ME-4ACD81). ME-MS81 method detection range: 5-10,000 ppm Zn. ME-4ACD81 method detection range: 2-10,000 ppm Zn. Concentrations less than the Lower Detection Limit (<LDL) are identified with a negative sign (-LDL). A blank or NULL value indicates that no data are available.",parts per million by weight (ppm),ALS data sheet (2014)
79,UTVolcRocks_UGS-ALS_AnalyticalMethods,AnalyticalMethods,Laboratory codes for the analytical methods.,,This data release
