LAB_ID,JOB_ID,SUBMITTER,DATE_SUB,FIELD_ID,STATE,COUNTRY,DATUM,LATITUDE,LONGITUDE,LocationConfidenceMeters,LOCAT_DESC,SAMPLE_SRC,XNDRYCLASS,SPEC_NAME,ADDL_ATTR,GEOL_AGE,STRATGRPHY,STRUCT_SRC,SIO2_XRF,AL2O3_XRF,FEO_TTR,FETO3_XRF,MGO_XRF,CAO_XRF,NA2O_XRF,K2O_XRF,TIO2_XRF,P2O5_XRF,MNO_XRF,LOI_MSC,H2O_M_MSC,H2O_P_MSC,CO2_TTR,CL_ELCTRD,F_ELCTRD,BAPPM_XRF,CEPPM_XRF,CRPPM_XRF,CUPPM_XRF,LAPPM_XRF,NBPPM_XRF,NIPPM_XRF,RBPPM_XRF,SRPPM_XRF,YPPM_XRF,ZNPPM_XRF,ZRPPM_XRF,CAPCT_NA,FEPCT_NA,KPCT_NA,NAPCT_NA,ASPPM_NA,AUPPB_NA,BAPPM_NA,CEPPM_NA,COPPM_NA,CRPPM_NA,CSPPM_NA,EUPPM_NA,GDPPM_NA,HFPPM_NA,LAPPM_NA,LUPPM_NA,NDPPM_NA,NIPPM_NA,RBPPM_NA,SBPPM_NA,SCPPM_NA,SMPPM_NA,SRPPM_NA,TAPPM_NA,TBPPM_NA,THPPM_NA,TMPPM_NA,UPPM_NA,WPPM_NA,YBPPM_NA,ZNPPM_NA,ZRPPM_NA
M163270,LG88,"Miller, David M.",8/8/1984,B84TR-158,NV,United States,NAD 83,-114.2744797,41.0262896,15,Toano Range,outcrop,igneous,rhyolite,biotite rhyolite,Miocene,,plug/pipe,77.5,11.3,0.31,1.21,-0.1,0.49,2.94,4.59,0.05,-0.05,-0.02,,0.42,0.3,0.05,,,40,70,-20,-20,30,78,-20,575,16,134,60,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D539430,VP71,"Miller, David M.",9/23/1993,L93WI-14,UT,United States,NAD 83,-112.999959,41.857242,15,Wildcat Hills,outcrop,igneous,dacite,rhyodacite vitrophyre,Pliocene,,lava flow,68.1,13.8,2.27,3.64,1.35,3.34,3.13,3.36,0.48,0.13,0.06,2.24,0.09,2.11,0.1,0.03,0.07,,,,-10,,21,-10,110,172,53,47,230,2.4,2.6,2.9,2.41,2.1,-4,800,98.7,7.6,24.2,1.66,1.22,,5.99,54.3,0.695,38,22,108,0.17,7.38,8.5,180,2.02,1.26,21,,3.9,,5.24,46,240
M163704,LH17,"Miller, David M.",8/28/1984,M81TR-07,NV,United States,NAD 83,-114.3266361,41.0106243,15,Toano Range,outcrop,igneous,rhyolite,rhyolite flow,Miocene,,lava flow,76.5,11.3,0.1,1.28,0.15,0.74,2.69,5.14,0.07,-0.05,-0.02,,0.2,0.34,0.41,,,80,130,-20,-20,76,64,-20,610,24,235,58,164,-0.7,0.929,,2.1,2.6,5.5,160,131,0.49,2.5,9.44,0.21,,7.1,69,3.08,56,-9,604,0.55,2.46,15.5,-25,7.23,3.8,84.1,,18,,22.6,38,96
M180902,LW89,"Miller, David M.",12/9/1987,M87LS-134,UT,United States,NAD 83,-112.9204911,41.72355675,15,Curlew Valley,outcrop,igneous,olivine basalt,olivine basalt,Pleistocene,,lava flow,46.3,14.8,11.84,15.6,7.16,10.1,2.52,0.7,3.12,0.76,0.21,0.01,0.14,0.34,0.09,,,,,,,,32,,12,364,42,,300,7.6,11.2,,2.1,-14,-11,540,65.2,50.1,157,0.38,2.57,,5.65,32.8,0.5,37,68,17,-0.2,30.6,8.6,360,1.86,1.19,1.7,,1.4,,3.52,135,280
M184576,LZ43,"Miller, David M.",7/7/1988,M88LP-30,NV,United States,NAD 83,-114.1009979,40.7457008,15,Leppy Range,outcrop,igneous,rhyolite,lower rhyolite flow,Miocene,,lava flow,76.2,11.9,0.22,1.83,-0.2,0.66,2.6,5.28,0.18,0.04,0.02,0.66,0.16,0.21,0.01,,,,,,-20,,40,-20,265,50,74,44,235,-0.5,1.115,4.5,2,2.19,-4,427,195,0.88,-0.9,3.38,0.762,,6.93,103.7,0.671,66,-11,249,0.223,2.33,12.2,53,2.2,1.62,51.1,,5.3,,5.19,36,200
M188570,MC66,"Miller, David M.",7/12/1989,M89LU-47,UT,United States,NAD 83,-113.9062446,41.465142,15,Lucin,road cut,igneous,rhyolite,,Miocene,,lava flow,77,11.9,0.11,1.38,0.1,0.53,3.3,5.07,0.09,-0.05,0.02,0.16,0.09,0.03,0.03,,,310,150,-20,-10,66,28,10,152,30,62,48,174,,1,,2.63,4.17,,316,148,0.38,-0.05,1.41,0.546,,6.72,70.6,1.03,63.9,,146,,2.25,15.2,-30,2.38,2.08,28.1,,5.48,-0.47,7.02,59.7,247
M191956,ME84,"Miller, David M.",4/27/1990,M90LU-32,UT,United States,NAD 83,-113.9689387,41.4977417,15,Lucin,outcrop,igneous,rhyolite,rhyolite vitrophyre,Miocene,,lava flow,76,11.2,0.58,1.23,0.1,0.67,2.85,4.82,0.07,-0.05,0.02,2.14,0.25,1.62,0.07,0.053,0.14,126,,-20,12,,36,-10,140,24,84,68,162,,0.836,,2.13,1.04,-0.73,161,109,0.23,,1.96,0.286,,5.93,50.7,1.15,49.3,,153,0.063,2.11,13.2,-20,2.71,2.2,30.4,,6.32,1.4,8.31,58.5,241
M192504,MF41,"Miller, David M.",6/26/1990,M90LU-56,UT,United States,NAD 83,-113.9623266,41.4779255,15,Lucin,outcrop,igneous,rhyolite,,Miocene,,extrusive,75.8,11.5,0.03,1.26,0.14,1.21,3,4.9,0.09,-0.05,0.02,0.84,0.04,0.23,0.73,,,325,140,-20,10,70,32,-10,132,46,50,50,176,,0.873,,2.41,,-1.1,395,142,0.42,-0.3,1.24,0.615,,6.44,69.6,0.704,58,,133,0.0518,1.99,12.3,46.1,2.06,1.52,24.7,,4.78,,5.13,41.2,248
M200826,ML98,"Miller, David M.",7/15/1992,M92ID-56,ID,United States,NAD 83,-112.7235924,42.1793623,15,Curlew Valley,outcrop,igneous,basalt,,Miocene,,lava flow,54.4,13.6,3.59,8.08,4.67,5.65,2.41,6.43,1.82,0.68,0.11,0.55,0.37,0.3,0.15,0.01,0.24,3800,148,91,30,-30,35,74,136,1300,44,78,840,4.1,6.06,4.9,1.89,3.1,-16,3970,172,26.4,159,1.16,2.82,,20.6,89.3,0.329,74,99,133,0.17,15.2,12.2,1390,1.86,1.08,14,,1.97,,2.44,85,790
M192498,MF41,"Miller, David M.",6/26/1990,P90LU-04,UT,United States,NAD 83,-113.977252,41.4951989,15,Lucin,outcrop,igneous,rhyolite,rhyolite vitrophyre,Miocene,,extrusive,75.8,11.4,0.57,1.26,0.11,0.59,2.82,4.95,0.07,-0.05,0.02,2.02,0.17,1.86,0.02,,,140,144,-20,10,66,38,-10,154,18,98,70,160,,0.847,,2.11,,-0.51,129,107,0.23,-20,1.99,0.278,,6.02,49,1.16,50.2,,158,,2.17,13.1,,2.74,2.21,30.1,,6.2,,8.28,57.2,263
